hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 6.13575, 3.89544, 6.13689, 3.89572, 6.13645, 3.89524, 0, 0
2, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
3, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
4, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
5, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
6, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
7, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
8, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
9, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
10, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
11, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
12, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
13, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
14, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
15, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
16, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
17, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
18, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
19, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
20, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
21, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
22, 0.00000, 6.13576, 3.89544, 6.13691, 3.89572, 6.13647, 3.89524, 0, 0
23, 0.00000, 4.46395, 3.8826, 4.46482, 3.88297, 4.4645, 3.88254, 0, 0
24, 0.00000, 2.79382, 3.87454, 2.79442, 3.87496, 2.79422, 3.87459, 0, 0
25, 0.00000, 0.959953, 3.78046, 0.960281, 3.78089, 0.960195, 3.7806, 0, 0
26, 0.00000, 0.959998, 3.7808, 0.960319, 3.7812, 0.960232, 3.78092, 0, 0
27, 0.00000, 0.960121, 3.78163, 0.960423, 3.78196, 0.960335, 3.78171, 0, 0
28, 0.00000, 0.960153, 3.78186, 0.960451, 3.78217, 0.960362, 3.78192, 0, 0
29, 0.00000, 0.960173, 3.78199, 0.960467, 3.78229, 0.960379, 3.78205, 0, 0
30, 0.00000, 0.96019, 3.78211, 0.960481, 3.7824, 0.960393, 3.78216, 0, 0
31, 0.00000, 0.960196, 3.78215, 0.960487, 3.78243, 0.960398, 3.7822, 0, 0
32, 0.00000, 0.960208, 3.78224, 0.960496, 3.78251, 0.960407, 3.78228, 0, 0
33, 0.00000, 0.960205, 3.7822, 0.960494, 3.78248, 0.960406, 3.78225, 0, 0
34, 0.00000, 0.960209, 3.78224, 0.960497, 3.78251, 0.960409, 3.78228, 0, 0
35, 0.00000, 0.960182, 3.78204, 0.960475, 3.78233, 0.960386, 3.7821, 0, 0
36, 0.00000, 0.960189, 3.7821, 0.96048, 3.78239, 0.960392, 3.78215, 0, 0
37, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
38, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
39, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
40, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
41, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
42, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
43, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
44, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
45, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
46, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
47, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
48, 0.00000, 0.96021, 3.78224, 0.960498, 3.78251, 0.96041, 3.78228, 0, 0
49, 0.00000, 1.6566, 4.10085, 1.65699, 4.10113, 1.65686, 4.10087, 0, 0
50, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
51, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
52, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
53, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
54, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
55, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
56, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
57, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
58, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
59, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
60, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
61, 0.00000, 1.65661, 4.10085, 1.65699, 4.10113, 1.65687, 4.10087, 0, 0
