hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 17.6434, 8.65096, 17.6509, 8.65132, 17.6483, 8.64887, 0, 0
2, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
3, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
4, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
5, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
6, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
7, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
8, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
9, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
10, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
11, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
12, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
13, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
14, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
15, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
16, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
17, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
18, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
19, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
20, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
21, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
22, 0.00000, 17.6435, 8.65102, 17.651, 8.65139, 17.6485, 8.64894, 0, 0
23, 0.00000, 17.6441, 8.65163, 17.6514, 8.65187, 17.6489, 8.64952, 0, 0
24, 0.00000, 14.2618, 8.55105, 14.2676, 8.55158, 14.2656, 8.54959, 0, 0
25, 0.00000, 13.405, 9.60304, 13.41, 9.60359, 13.4083, 9.60184, 0, 0
26, 0.00000, 11.7193, 9.56411, 11.7236, 9.56478, 11.7222, 9.56317, 0, 0
27, 0.00000, 6.24061, 9.47553, 6.24333, 9.47666, 6.24261, 9.47538, 0, 0
28, 0.00000, 6.24068, 9.47599, 6.24334, 9.47702, 6.24262, 9.47579, 0, 0
29, 0.00000, 6.24072, 9.47624, 6.24335, 9.47721, 6.24262, 9.47601, 0, 0
30, 0.00000, 6.24077, 9.47651, 6.24335, 9.47741, 6.24262, 9.47624, 0, 0
31, 0.00000, 6.24079, 9.47663, 6.24336, 9.47751, 6.24263, 9.47635, 0, 0
32, 0.00000, 6.24082, 9.47688, 6.24335, 9.47771, 6.24262, 9.47658, 0, 0
33, 0.00000, 6.24084, 9.4768, 6.24338, 9.47764, 6.24265, 9.47651, 0, 0
34, 0.00000, 6.24084, 9.4769, 6.24336, 9.47772, 6.24264, 9.47659, 0, 0
35, 0.00000, 6.24076, 9.47635, 6.24337, 9.4773, 6.24264, 9.47611, 0, 0
36, 0.00000, 6.24077, 9.47647, 6.24335, 9.47739, 6.24263, 9.47621, 0, 0
37, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
38, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
39, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
40, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
41, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
42, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
43, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
44, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
45, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
46, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
47, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
48, 0.00000, 6.24085, 9.47691, 6.24337, 9.47773, 6.24265, 9.4766, 0, 0
49, 0.00000, 7.63108, 10.0898, 7.63413, 10.0906, 7.63323, 10.0893, 0, 0
50, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
51, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
52, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
53, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
54, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
55, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
56, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
57, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
58, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
59, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
60, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
61, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
62, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
63, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
64, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
65, 0.00000, 7.63113, 10.0898, 7.63418, 10.0906, 7.63327, 10.0894, 0, 0
66, 0.00000, 7.63112, 10.0898, 7.63418, 10.0906, 7.63328, 10.0893, 0, 0
67, 0.00000, 7.63106, 10.0894, 7.63419, 10.0903, 7.63328, 10.089, 0, 0
68, 0.00000, 7.63096, 10.0889, 7.63417, 10.09, 7.63326, 10.0886, 0, 0
69, 0.00000, 11.4314, 10.154, 11.4359, 10.1548, 11.4345, 10.1531, 0, 0
70, 0.00000, 21.5823, 10.4663, 21.5913, 10.4665, 21.5882, 10.4637, 0, 0
71, 0.00000, 21.5829, 10.4664, 21.5921, 10.4667, 21.589, 10.4638, 0, 0
72, 0.00000, 21.5829, 10.4664, 21.5921, 10.4667, 21.5891, 10.4638, 0, 0
