hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 4.41699, 3.36735, 4.41799, 3.36778, 4.41755, 3.36727, 0, 0
2, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
3, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
4, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
5, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
6, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
7, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
8, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
9, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
10, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
11, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
12, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
13, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
14, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
15, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
16, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
17, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
18, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
19, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
20, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
21, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
22, 0.00000, 4.417, 3.36735, 4.418, 3.36779, 4.41756, 3.36727, 0, 0
23, 0.00000, 2.7484, 3.36161, 2.74909, 3.36214, 2.7488, 3.36168, 0, 0
24, 0.00000, 1.08091, 3.35974, 1.0813, 3.36034, 1.08114, 3.35995, 0, 0
25, 0.00000, 1.00018, 3.42246, 1.00053, 3.42296, 1.00039, 3.42261, 0, 0
26, 0.00000, 1.00025, 3.42302, 1.00059, 3.4235, 1.00046, 3.42316, 0, 0
27, 0.00000, 1.00046, 3.4245, 1.00078, 3.42489, 1.00065, 3.42458, 0, 0
28, 0.00000, 1.00052, 3.42489, 1.00083, 3.42526, 1.0007, 3.42496, 0, 0
29, 0.00000, 1.00055, 3.42512, 1.00086, 3.42547, 1.00073, 3.42517, 0, 0
30, 0.00000, 1.00058, 3.42533, 1.00088, 3.42567, 1.00076, 3.42538, 0, 0
