hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.709026, 0.92292, 0.709518, 0.923441, 0.709245, 0.923047, 0, 0
2, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923048, 0, 0
3, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
4, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
5, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
6, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
7, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
8, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
9, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
10, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
11, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
12, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
13, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
14, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
15, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
16, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
17, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
18, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
19, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
20, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
21, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
22, 0.00000, 0.70903, 0.922921, 0.709522, 0.923442, 0.709249, 0.923049, 0, 0
23, 0.00000, 0.709066, 0.923109, 0.709553, 0.92362, 0.709282, 0.923231, 0, 0
24, 0.00000, 0.709196, 0.923967, 0.709657, 0.924434, 0.709399, 0.924065, 0, 0
25, 0.00000, 1.52223, 1.27313, 1.52303, 1.27349, 1.52265, 1.27305, 0, 0
26, 0.00000, 1.52232, 1.27365, 1.52308, 1.27398, 1.52272, 1.27355, 0, 0
27, 0.00000, 1.52253, 1.2749, 1.52322, 1.27514, 1.52288, 1.27476, 0, 0
28, 0.00000, 1.52258, 1.27518, 1.52326, 1.27541, 1.52292, 1.27504, 0, 0
29, 0.00000, 1.52259, 1.27525, 1.52326, 1.27547, 1.52293, 1.27511, 0, 0
30, 0.00000, 1.5226, 1.27528, 1.52327, 1.27549, 1.52293, 1.27513, 0, 0
31, 0.00000, 1.5226, 1.27528, 1.52327, 1.2755, 1.52293, 1.27514, 0, 0
32, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
33, 0.00000, 1.5226, 1.27529, 1.52327, 1.27551, 1.52293, 1.27515, 0, 0
34, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
35, 0.00000, 1.52259, 1.27526, 1.52326, 1.27548, 1.52293, 1.27512, 0, 0
36, 0.00000, 1.5226, 1.27527, 1.52327, 1.27549, 1.52293, 1.27513, 0, 0
37, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
38, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
39, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
40, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
41, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
42, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
43, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
44, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
45, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
46, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
47, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
48, 0.00000, 1.5226, 1.2753, 1.52327, 1.27552, 1.52294, 1.27515, 0, 0
49, 0.00000, 1.47961, 1.25589, 1.48031, 1.25614, 1.47996, 1.25575, 0, 0
50, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
51, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
52, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
53, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
54, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
55, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
56, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
57, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
58, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
59, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
60, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
61, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
62, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
63, 0.00000, 1.47961, 1.25589, 1.48032, 1.25614, 1.47997, 1.25575, 0, 0
