hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 11.893, 5.86483, 11.8988, 5.86523, 11.8969, 5.86327, 0, 0
2, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
3, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
4, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
5, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
6, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
7, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
8, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
9, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
10, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
11, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
12, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
13, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
14, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
15, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
16, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
17, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
18, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
19, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
20, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
21, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
22, 0.00000, 11.8931, 5.86488, 11.8989, 5.86529, 11.897, 5.86332, 0, 0
23, 0.00000, 10.1993, 5.81294, 10.2044, 5.81361, 10.2028, 5.81178, 0, 0
24, 0.00000, 8.50834, 5.76909, 8.5125, 5.76987, 8.51118, 5.76829, 0, 0
25, 0.00000, 5.97975, 5.71966, 5.98269, 5.72059, 5.98183, 5.71932, 0, 0
26, 0.00000, 5.97982, 5.72007, 5.98266, 5.72088, 5.98181, 5.71969, 0, 0
