PA_D_FN18E0003,560381,9578887
DMUM_FN18E0003,560381,9578887
PA_D_W30E1001,560350,9578777
PA_D_W29E1196,560325,9578783
CD_30E1035,560312,9578751
PA_D_TW30E1070,560300,9578721
CD_30E1070,560297,9578722
BVIRT_FK30E1753,560057,9578802
PA_D_SF90E1910,560915,9579309
PA_E_-2474992,560950,9579311
BVIRT_SF90E1890,560893,9579309
CD_90E2031,561040,9579320
PA_D_RF90E2085,561087,9579325
BVIRT_RF90E2085,561089,9579327
PA_E_-558710,560841,9579088
PA_E_-558716,560838,9579050
PA_E_-558708,560843,9579123
PA_E_-558718,560836,9579016
PA_E_-558706,560845,9579163
CD_28E0339,560834,9578984
PA_E_-558704,560847,9579189
PA_E_-558696,560851,9579223
CD_28E0065,560857,9579244
PA_D_N28E0001A,560864,9579311
BVIRT_FF90E1843,560852,9579313
BVIRT_FN18E0003,560382,9578887
PA_E_-3093927,560384,9578886
CD_18E0096,560469,9578869
CD_30E1713,560033,9578769
DMUM_FK30E1753,560056,9578802
DMUM_6F90E2085,561089,9579325
PA_D_6F90E2085,561090,9579325
BVIRT_SF90E2130,561109,9579326
DMUM_RF90E2085,561088,9579327
BVIRT_D_RF90E2085,561087,9579325
BVIRT_6F90E2085,561089,9579325
PA_D_SF90E2165,561127,9579329
CD_02E4914,561173,9579207
DMUM_SF90E2130,561109,9579326
DMUM_SF90E2165,561132,9579332
CD_02E4792,561188,9579087
PA_D_FI02E4712,561198,9579007
DMUM_FI02E4712,561198,9579007
PA_D_RG_I02E4519,561176,9578820
PA_D_4I02E4429,561168,9578727
BVIRT_6I02E4429,561168,9578725
BVIRT_4I02E4429,561170,9578728
bar_3,561176,9578819
bar_4,561176,9578818
PA_E_-2475035,561168,9579335
BVIRT_SF90E2165,561132,9579332
PA_E_-2475039,561246,9579344
PA_E_-2475041,561291,9579349
PA_E_-2475043,561334,9579353
PA_D_F90E2345,561363,9579355
PA_E_-2475047,561385,9579361
PA_E_-2475049,561416,9579365
DMUM_SF90E2418,561436,9579368
BVIRT_RI02E4429,561171,9578725
DMUM_4I02E4429,561170,9578728
BVIRT_FI02E4712,561198,9579007
PA_D_T71E0826,561162,9579000
CD_71E1021,560986,9578956
PA_E_-3234290,561738,9579374
PA_E_-3234289,561807,9579360
PA_D_TF90E2616,561634,9579375
PA_E_-3234286,561891,9579323
CD_90E2616,561625,9579409
BVIRT_SF90E2418,561436,9579368
PA_D_TF90E3019,561960,9579259
CD_90E3019,561979,9579275
PA_E_-3227863,562005,9579218
PA_E_-3218561,562232,9578958
CD_90E3475,562285,9578938
PA_EL_2847564,562314,9578932
PA_D_381,562358,9578924
PA_D_F90E3582,562403,9578920
BVIRT_SF90E3628,562446,9578914
DMUM_RI02E4429,561171,9578725
DMUM_5I02E4429,561169,9578723
PA_D_FF90E3763,562596,9578893
DMUM_SF90E3628,562446,9578914
PA_D_SJ32E1001,562633,9578887
DMUM_SJ32E1001,562637,9578882
PA_D_SF90E3942,562763,9578867
BVIRT_SF90E3942,562764,9578867
PA_D_FF90E4120,562934,9578841
DMUM_SF90E4254,563072,9578821
DMUM_FF90E4120,562934,9578842
DMUM_6I02E4429,561168,9578725
PA_D_5I02E4429,561168,9578723
BVIRT_SI02E4385,561160,9578681
BVIRT_5I02E4429,561170,9578723
DMUM_FF90E3763,562596,9578894
CUMT_BCF90E3763,562597,9578896
DMUM_SF90E3942,562763,9578867
CD_90E3942,562765,9578860
PA_D_FF90E4362,563168,9578807
BVIRT_SF90E4254,563072,9578821
BVIRT_FF90E4362,563168,9578806
PA_D_F90E4435,563250,9578794
PA_D_FF90E4431,563294,9578786
PA_D_F90E4460,563323,9578781
DMUM_FF90E4431,563293,9578785
BVIRT_SF90E4501,563363,9578776
BVIRT_D_RJ32E1022,562634,9578858
BVIRT_SJ32E1001,562638,9578882
BVIRT_FF90E4120,562935,9578842
CD_90E4120,562936,9578853
CD_02E3554,560971,9577876
BVIRT_SI02E3446,560928,9577794
PA_D_FI02E3585,560986,9577908
DMUM_FI02E3585,560985,9577909
PA_D_FI83E1122,560997,9577927
PA_D_I83E1000,561009,9577932
PA_D_I02E3620,561003,9577939
DMUM_FI83E1122,561134,9577895
PA_D_I02E3647,561010,9577971
PA_D_FI02E3681,561017,9578004
DMUM_FI02E3681,561017,9578004
PA_D_I02E3821,561046,9578149
PA_D_FI02E3869,561053,9578187
DMUM_FI02E3869,561053,9578188
CD_02E3976,561073,9578279
PA_D_I02E4099,561098,9578400
CD_02E4181,561115,9578480
PA_D_FI02E4204,561120,9578503
DMUM_FI02E4204,561119,9578504
PA_D_FI02E4262,561133,9578561
CD_02E4345,561151,9578641
BVIRT_FI02E4262,561133,9578562
DMUM_SI02E4385,561160,9578681
DMUM_SF90E4563,563424,9578767
DMUM_SF90E4501,563363,9578776
PA_E_-1052955,563130,9578498
PA_E_-1052957,563151,9578486
PA_E_-1052953,563125,9578498
PA_E_-1052959,563190,9578466
PA_E_-1052951,563129,9578535
PA_E_-1052961,563224,9578448
CD_12L1200,563133,9578565
PA_E_-1052963,563250,9578434
PA_D_3243,563164,9578802
PA_E_-1052965,563286,9578437
DMUM_FF90E4362,563167,9578806
PA_E_-1052967,563313,9578438
PA_E_-1052969,563315,9578434
PA_E_-1052971,563297,9578372
PA_E_-1052973,563400,9578376
PA_E_-1052975,563465,9578380
BVIRT_FZ04L1127,563531,9578382
BVIRT_FF90E4431,563293,9578785
CD_90E4431,563288,9578783
PA_D_RJ32E1022,562634,9578858
DMUM_RJ32E1022,562631,9578856
DMUM_6J32E1022,562634,9578856
CD_02E4262,561115,9578566
DMUM_FI02E4262,561132,9578562
BVIRT_FI02E3585,560986,9577909
CD_02E3585,560966,9577918
PA_D_FI02E3422,560908,9577766
DMUM_SI02E3446,560928,9577794
BVIRT_FI02E3422,560909,9577765
PA_D_FI02E3347,560874,9577701
BVIRT_FI02E3347,560873,9577701
PA_E_-1554060,560858,9577670
CD_02E3281,560843,9577642
BVIRT_SI02E3152,560784,9577531
CD_83E1122,561123,9577906
BVIRT_FI83E1122,561135,9577895
BVIRT_FI02E3681,561017,9578004
PA_D_O32L1000,560998,9578010
PA_D_O32L1175,560831,9578062
PA_D_TO87L1201,560828,9578063
CD_87L1201,560821,9578028
PA_D_O87L1115,560853,9578181
CD_49L1070,560756,9578203
PA_EL_1249483,560721,9578212
BVIRT_FI02E3869,561053,9578188
CD_02E3869,561021,9578194
BVIRT_FI02E4204,561120,9578504
CD_02E4204,561096,9578507
PA_D_F90E4876,563695,9578726
PA_D_F90E4922,563738,9578719
CD_90E4832,563651,9578733
PA_D_F90E4963,563779,9578713
PA_D_F90E4668,563527,9578752
PA_D_F90E5007,563824,9578705
PA_E_-11038766,563467,9578761
PA_D_RG_F90E5009,563827,9578705
BVIRT_SF90E4563,563425,9578767
PA_D_FF90E5031,563850,9578701
BVIRT_FF90E5031,563850,9578700
PA_D_FF90E5064,563879,9578696
PA_D_D_TS57E0980,563936,9578673
DMUM_FF90E5064,563878,9578695
CD_57E0980,563945,9578655
DMUM_FZ04L1127,563531,9578382
CD_04L1127,563541,9578381
PA_D_2812,562567,9578460
PA_D_J32E1388,562572,9578499
PA_D_2813,562563,9578430
PA_M_M_FJ32E1485,562598,9578646
PA_M_FJ32E1485,562555,9578406
CD_32E1043,562630,9578833
PA_D_FJ32E1485,562553,9578393
PA_D_6J32E1022,562634,9578854
CD_32E1597,562524,9578293
BVIRT_6J32E1022,562635,9578856
BVIRT_RJ32E1022,562632,9578856
CD_32E1726,562489,9578169
BVIRT_SJ32E1767,562476,9578130
PA_D_FF64E0005,560050,9577248
CD_61E2134,559864,9577206
DMUM_FF64E0005,560040,9577263
PA_D_10489,560097,9577255
PA_D_FF61E2081,559807,9577190
PA_D_TN93E0066,560241,9577271
DMUM_SF61E2020,559756,9577175
DMUM_FF61E2081,559807,9577188
PA_D_FF61E2782,560489,9577341
CD_93E0066,560219,9577212
DMUM_FF61E2782,560489,9577340
PA_D_FF61E2828,560532,9577356
BVIRT_FF61E2828,560533,9577355
CD_61E2872,560571,9577367
PA_D_FF61E2958,560660,9577394
BVIRT_FF61E2958,560662,9577394
CD_02E3107,560762,9577489
DMUM_SI02E3152,560784,9577531
CD_15E0937,560708,9577756
DMUM_FI02E3347,560873,9577701
PA_D_T50E1001,560914,9577758
CD_50E1041,560955,9577745
DMUM_FI02E3422,560909,9577765
PA_D_FF99E0310,563774,9578435
PA_D_F99E0316,563773,9578419
BVIRT_FF99E0310,563774,9578435
PA_D_FF99E0295,563775,9578450
PA_D_3291A,563774,9578378
BVIRT_FF99E0295,563775,9578449
PA_D_FF99E0272,563776,9578461
CD_99E0315,563747,9578322
CD_99E0258,563777,9578475
BVIRT_FF99E0272,563776,9578461
PA_D_F99E0090,563807,9578616
DMUM_FF90E5031,563849,9578700
CD_90E5064,563873,9578690
BVIRT_FF90E5064,563879,9578695
DMUM_FJ32E1485,562555,9578393
CD_98L1178,562722,9578360
DMUM_FJ32E2030,562388,9577879
PA_D_FJ32E2030,562387,9577880
BVIRT_FJ32E2110,562362,9577807
CD_32E1991,562400,9577918
PA_D_J32E1952,562413,9577955
PA_D_SJ33E1010,562426,9577990
DMUM_SJ32E1767,562476,9578130
DMUM_SJ33E1010,562441,9577993
DMUM_SF61E1751,559502,9577085
CD_61E1841,559577,9577110
PA_D_D_TA80L2099,559616,9577126
BVIRT_SF61E2020,559756,9577175
PA_D_10477,559596,9577135
CD_80L2099,559555,9577199
PA_EL_1249348,559539,9577228
PA_D_J64E1384,559831,9577166
CD_64E1626,559907,9577066
BVIRT_FF61E2081,559807,9577188
PA_D_F92E1258,560405,9577100
CD_92E1301,560400,9577059
PA_D_FF24E1155,560408,9577128
PA_D_TF92E1343,560394,9577026
PA_D_F92E1003,560484,9577332
PA_D_F24E1000,560419,9577123
PA_D_F92E1530,560358,9576835
CD_92E1343,560375,9577030
BVIRT_FF61E2782,560489,9577340
DMUM_FF24E1155,560550,9577032
PA_D_TJ89L2325,560319,9576654
PA_D_J89L1970,560295,9576669
PA_D_J89L2033,560349,9576644
PA_D_J89L1938,560261,9576673
CD_89L2325,560612,9576525
PA_D_J89L1818,560144,9576673
CD_64E2403,560310,9576449
PA_EL_2376040,560431,9576290
DMUM_FF61E2828,560533,9577355
CUMT_BCF61E2828,560533,9577353
CD_60E0367,560895,9577277
PA_D_H60E0139,560697,9577379
DMUM_FF61E2958,560661,9577394
PA_D_TK40E1169,560136,9577568
PA_D_10497,560141,9577584
CD_40E1169,559950,9577664
CD_64E0305,560129,9577545
PA_D_F46E0539,560210,9577763
BVIRT_FF64E0005,560041,9577263
CD_64E0575,560229,9577796
DMUM_FF99E0272,563775,9578461
CD_99E0272,563759,9578462
CD_99E0295,563755,9578450
DMUM_FF99E0295,563775,9578449
DMUM_FF99E0310,563774,9578435
CD_99E0310,563772,9578435
CD_51L3125,562429,9577854
BVIRT_FJ32E2030,562388,9577879
PA_D_SJ33E1533,562944,9577858
PA_D_D_TS46E1040,562701,9577923
PA_D_FJ33E1545,562964,9577850
BVIRT_SJ33E1533,562945,9577857
BVIRT_SJ33E1010,562441,9577993
BVIRT_FJ33E1280,562701,9577924
BVIRT_FJ33E1599,563013,9577835
BVIRT_FJ33E1545,562965,9577851
PA_EL_1227887,562563,9577582
CD_96E1208,562537,9577589
PA_D_K96E1000,562322,9577654
PA_D_FT17L0685,562308,9577654
PA_E_-10922699,562274,9577561
PA_D_K96E0986,562302,9577658
DMUM_FJ32E2110,562361,9577807
BVIRT_FT17L0685,562286,9577539
CD_96E0877,562208,9577687
DMUM_FF61E1708,559456,9577074
PA_D_FF61E1708,559456,9577073
PA_D_FU22E2000,559437,9577066
PA_D_10472,559484,9577079
PA_0A-FU22E2000,559443,9577056
DMUM_SF61E1652,559407,9577055
BVIRT_SF61E1751,559503,9577085
BVIRT_FU22E2000,559443,9577055
BVIRT_FF24E1155,560551,9577032
CD_24E1155,560549,9577030
CD_28E2347,563002,9577959
DMUM_FJ33E1545,562964,9577851
CD_33E1707,563113,9577807
PA_D_J33E1635,563048,9577825
DMUM_FJ33E1599,563012,9577835
PA_D_2854,562947,9577853
DMUM_SJ33E1533,562945,9577857
PA_M_TI91L2332,562918,9577698
CD_91L2332,562896,9577618
PA_D_FI91L2509,562853,9577380
DMUM_FN36L0928,562872,9577375
BVIRT_FI91L2509,562853,9577380
PA_D_FI91L2615,562839,9577350
BVIRT_FI91L2615,562838,9577350
PA_D_FI91L2659,562813,9577308
BVIRT_FI91L2659,562813,9577308
CD_91L2703,562806,9577260
PA_E_-10733772,562793,9577208
DMUM_SI91L2802,562788,9577162
BVIRT_FI91L2753,562795,9577208
PA_EL_1227899,562728,9578001
CD_46E1040,562714,9577960
DMUM_FJ33E1280,562701,9577924
DMUM_FT17L0685,562286,9577539
PA_E_-10922708,562373,9577516
PA_E_-10922729,562377,9577509
CD_65L1133,562351,9577385
BVIRT_SF61E1652,559407,9577055
PA_D_SF61E1614,559369,9577043
DMUM_6F61E1614,559368,9577042
BVIRT_SF61E1614,559369,9577040
CD_22E2801,559790,9576345
PA_D_FU22E2836,559809,9576313
PA_D_U22E2761,559774,9576373
DMUM_FU22E2836,559810,9576314
PA_D_FU22E2985,559881,9576185
CD_22E2658,559721,9576467
DMUM_FU22E2985,559881,9576184
CD_22E3027,559899,9576148
PA_D_SU22E2618,559700,9576502
PA_EL_1249388,559915,9576120
PA_D_FU22E2563,559674,9576549
BVIRT_SU22E2618,559700,9576501
PA_D_FM94L1000,559599,9576690
DMUM_FU22E2563,559674,9576550
DMUM_FM94L1000,559590,9576681
PA_D_10408,559596,9576706
CD_22E2299,559558,9576785
CD_19L2076,559668,9576755
PA_D_FU22E2223,559531,9576856
PA_EL_1249372,559683,9576764
DMUM_FU22E2223,559530,9576856
CD_22E2153,559503,9576921
PA_0B-FU22E2001,559444,9577055
DMUM_FU22E2000,559443,9577055
DMUM_SU22E2000,559444,9577056
PA_D_O35E2024,559460,9577087
BVIRT_FF61E1708,559456,9577074
PA_D_FO35E2124,559426,9577177
BVIRT_FO35E2124,559425,9577177
CD_35E2158,559413,9577210
PA_EL_1249331,559405,9577238
DMUM_FO35E2222,559394,9577269
BVIRT_FN36L0928,562873,9577375
CD_36L1030,562968,9577358
CD_17L1115,562701,9577423
DMUM_FI91L2509,562852,9577380
CD_91L2615,562827,9577353
DMUM_FI91L2615,562838,9577350
CD_91L2659,562808,9577309
DMUM_FI91L2659,562812,9577308
CD_91L2753,562828,9577202
DMUM_FI91L2753,562795,9577208
PA_E_-10951287,558949,9576943
DMUM_FX52E2120,558950,9576942
PA_D_FX52E2120,558945,9576945
BVIRT_SX52E2120,558950,9576941
CD_61E1262,559036,9576933
BVIRT_SF61E1144,558903,9576952
PA_D_FF61E1388,559155,9576970
BVIRT_FF61E1388,559156,9576971
CD_61E1433,559198,9576984
PA_D_F61E1445,559210,9576988
DMUM_FF61E1445,559211,9576988
CD_61E1592,559349,9577036
PA_D_6F61E1614,559366,9577042
