hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
2, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
3, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
4, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
5, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
6, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
7, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
8, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
9, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
10, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
11, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
12, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
13, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
14, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
15, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
16, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
17, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
18, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
19, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
20, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
21, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
22, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
23, 0.00000, 3.43986, 1.36547, 3.44085, 1.3656, 3.44057, 1.36528, 0, 0
24, 0.00000, 0.0977632, 0.00199564, 0.0978202, 0.00175987, 0.0979943, 0.00189942, 0, 0
25, 0.00000, -3.22669, 0.00539894, -3.22729, 0.00532614, -3.22689, 0.00558961, 0, 0
26, 0.00000, -4.88289, 0.0195806, -4.88377, 0.0195639, -4.88327, 0.0198838, 0, 0
27, 0.00000, -11.4679, 0.153119, -11.4696, 0.153243, -11.4688, 0.153753, 0, 0
28, 0.00000, -11.468, 0.152269, -11.4696, 0.152373, -11.4688, 0.152858, 0, 0
29, 0.00000, -11.468, 0.151825, -11.4696, 0.151914, -11.4688, 0.152388, 0, 0
30, 0.00000, -11.468, 0.151432, -11.4696, 0.151513, -11.4688, 0.151975, 0, 0
31, 0.00000, -11.468, 0.15125, -11.4695, 0.151322, -11.4688, 0.15178, 0, 0
32, 0.00000, -11.468, 0.150877, -11.4695, 0.15094, -11.4688, 0.151388, 0, 0
33, 0.00000, -11.468, 0.151017, -11.4695, 0.15108, -11.4688, 0.151533, 0, 0
34, 0.00000, -11.4681, 0.150878, -11.4695, 0.150941, -11.4689, 0.151389, 0, 0
35, 0.00000, -11.468, 0.151588, -11.4695, 0.151652, -11.4688, 0.152127, 0, 0
36, 0.00000, -11.468, 0.151416, -11.4696, 0.151479, -11.4688, 0.151948, 0, 0
37, 0.00000, -11.468, 0.150874, -11.4695, 0.150937, -11.4688, 0.151384, 0, 0
38, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
39, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
40, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
41, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
42, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
43, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
44, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
45, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
46, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
47, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
48, 0.00000, -11.468, 0.150875, -11.4695, 0.150938, -11.4688, 0.151385, 0, 0
49, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
50, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
51, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
52, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
53, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
54, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
55, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
56, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
57, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
58, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
59, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
60, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
61, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
62, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
63, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
64, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
65, 0.00000, -11.468, 0.152276, -11.4696, 0.152382, -11.4688, 0.152864, 0, 0
66, 0.00000, -11.468, 0.152323, -11.4696, 0.152429, -11.4688, 0.152912, 0, 0
67, 0.00000, -11.4679, 0.152811, -11.4696, 0.152918, -11.4688, 0.153421, 0, 0
68, 0.00000, -11.4679, 0.153482, -11.4697, 0.153589, -11.4688, 0.15412, 0, 0
69, 0.00000, -6.53505, 0.042051, -6.53627, 0.0420162, -6.53564, 0.0424322, 0, 0
70, 0.00000, 3.43898, 0.0254934, 3.43987, 0.0251719, 3.43977, 0.0250532, 0, 0
71, 0.00000, 3.43893, 0.0262919, 3.43986, 0.0259617, 3.43976, 0.0258352, 0, 0
72, 0.00000, 3.43892, 0.0262924, 3.43986, 0.0259623, 3.43976, 0.0258358, 0, 0
73, 0.00000, 3.43829, 0.0340592, 3.4395, 0.0335535, 3.43933, 0.0334444, 0, 0
74, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
75, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
76, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
77, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
78, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
79, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
80, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
81, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
82, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
83, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
84, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
85, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
86, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
87, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
88, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
89, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
90, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
91, 0.00000, 3.43828, 0.0340629, 3.4395, 0.0335569, 3.43933, 0.0334482, 0, 0
