hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
2, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
3, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
4, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
5, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
6, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
7, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
8, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
9, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
10, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
11, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
12, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
13, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
14, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
15, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
16, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
17, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
18, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
19, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
20, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
21, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
22, 0.00000, 1.11907, 0.451197, 1.11934, 0.451231, 1.11927, 0.45115, 0, 0
23, 0.00000, 0.42115, 0.169561, 0.421256, 0.169532, 0.42126, 0.169532, 0, 0
24, 0.00000, 0.421232, 0.169157, 0.421327, 0.169131, 0.421332, 0.16913, 0, 0
25, 0.00000, 0.0589925, 0.00238569, 0.0590095, 0.00235137, 0.0590306, 0.00237245, 0, 0
26, 0.00000, 0.0590313, 0.00218395, 0.0590471, 0.00215172, 0.059067, 0.00217132, 0, 0
27, 0.00000, 0.0591371, 0.00163424, 0.0591494, 0.00160753, 0.0591665, 0.00162313, 0, 0
28, 0.00000, 0.0591643, 0.00149337, 0.0591757, 0.00146813, 0.059192, 0.0014827, 0, 0
29, 0.00000, 0.0591788, 0.00141787, 0.0591897, 0.00139344, 0.0592056, 0.0014074, 0, 0
30, 0.00000, 0.0591909, 0.00135492, 0.0592014, 0.00133122, 0.0592169, 0.00134471, 0, 0
31, 0.00000, 0.0591964, 0.00132653, 0.0592067, 0.0013031, 0.0592221, 0.00131633, 0, 0
32, 0.00000, 0.0592074, 0.00126936, 0.0592173, 0.00124653, 0.0592324, 0.00125934, 0, 0
33, 0.00000, 0.0592033, 0.00129059, 0.0592133, 0.00126751, 0.0592285, 0.00128046, 0, 0
34, 0.00000, 0.0592075, 0.00126945, 0.0592173, 0.00124662, 0.0592324, 0.00125944, 0, 0
