hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
2, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
3, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
4, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
5, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
6, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
7, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
8, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
9, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
10, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
11, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
12, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
13, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
14, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
15, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
16, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
17, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
18, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
19, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
20, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
21, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
22, 0.00000, 2.90812, 1.15196, 2.909, 1.15206, 2.90876, 1.15179, 0, 0
23, 0.00000, 1.23618, 0.446431, 1.23656, 0.446323, 1.23657, 0.446306, 0, 0
24, 0.00000, 0.305492, 0.0927198, 0.305599, 0.0925327, 0.305727, 0.092631, 0, 0
25, 0.00000, 0.929415, 0.376648, 0.92963, 0.376526, 0.929705, 0.376553, 0, 0
26, 0.00000, 0.929499, 0.37574, 0.929701, 0.375627, 0.929772, 0.375651, 0, 0
27, 0.00000, 0.929737, 0.373162, 0.929899, 0.373071, 0.929961, 0.373088, 0, 0
28, 0.00000, 0.929798, 0.372513, 0.929949, 0.372429, 0.930009, 0.372443, 0, 0
29, 0.00000, 0.929829, 0.372171, 0.929975, 0.37209, 0.930033, 0.372103, 0, 0
30, 0.00000, 0.929857, 0.37187, 0.929998, 0.371792, 0.930055, 0.371804, 0, 0
31, 0.00000, 0.92987, 0.371729, 0.930009, 0.371653, 0.930066, 0.371664, 0, 0
32, 0.00000, 0.929897, 0.371444, 0.930031, 0.37137, 0.930087, 0.371381, 0, 0
33, 0.00000, 0.929885, 0.37155, 0.930021, 0.371475, 0.930078, 0.371485, 0, 0
34, 0.00000, 0.929897, 0.371445, 0.930031, 0.371371, 0.930088, 0.371381, 0, 0
35, 0.00000, 0.929845, 0.371982, 0.929987, 0.371904, 0.930047, 0.371915, 0, 0
36, 0.00000, 0.929859, 0.371851, 0.929999, 0.371774, 0.930058, 0.371785, 0, 0
37, 0.00000, 0.929895, 0.371442, 0.93003, 0.371368, 0.930086, 0.371378, 0, 0
38, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
39, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
40, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
41, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
42, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
43, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
44, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
45, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
46, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
47, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
48, 0.00000, 0.929896, 0.371443, 0.93003, 0.371369, 0.930086, 0.371379, 0, 0
49, 0.00000, 1.24188, 0.516645, 1.24208, 0.516575, 1.24213, 0.51657, 0, 0
50, 0.00000, 1.24188, 0.516645, 1.24208, 0.516575, 1.24213, 0.51657, 0, 0
51, 0.00000, 1.24188, 0.516645, 1.24208, 0.516575, 1.24213, 0.51657, 0, 0
52, 0.00000, 1.24188, 0.516645, 1.24208, 0.516575, 1.24213, 0.51657, 0, 0
53, 0.00000, 1.24188, 0.516645, 1.24208, 0.516575, 1.24213, 0.51657, 0, 0
