hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
2, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
3, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
4, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
5, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
6, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
7, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
8, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
9, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
10, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
11, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
12, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
13, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
14, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
15, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
16, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
17, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
18, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
19, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
20, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
21, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
22, 0.00000, 15.891, 6.57926, 15.892, 6.57938, 15.8917, 6.57904, 0, 0
23, 0.00000, 15.891, 6.57914, 15.892, 6.57926, 15.8917, 6.57892, 0, 0
24, 0.00000, 12.5085, 5.19183, 12.5092, 5.19187, 12.509, 5.19166, 0, 0
25, 0.00000, 10.3528, 4.35764, 10.3533, 4.35764, 10.3532, 4.35752, 0, 0
26, 0.00000, 8.6692, 3.45078, 8.66958, 3.45074, 8.66957, 3.45066, 0, 0
27, 0.00000, 4.95257, 2.07262, 4.95275, 2.07254, 4.9528, 2.07254, 0, 0
28, 0.00000, 4.9526, 2.07173, 4.95277, 2.07166, 4.95282, 2.07166, 0, 0
