Hora[39] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[40] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[41] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[42] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[43] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[44] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[45] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[46] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[47] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[48] | FP_SEM_GERACAO: 0.882 => 0.959 |  FP_GERACAO_0.5: 0.710 => 0.984 |  FP_GERACAO_1.0: 0.137 => 0.942 
Hora[49] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[50] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[51] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[52] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[53] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[54] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[55] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[56] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[57] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[58] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[59] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[60] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[61] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.224 => 0.929 
Hora[62] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.231 => 0.933 
Hora[63] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.242 => 0.937 
Hora[64] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.254 => 0.940 
Hora[65] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.727 => 0.979 |  FP_GERACAO_1.0: 0.265 => 0.943 
Hora[66] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.728 => 0.979 |  FP_GERACAO_1.0: 0.280 => 0.945 
Hora[67] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.733 => 0.980 |  FP_GERACAO_1.0: 0.317 => 0.955 
Hora[68] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.745 => 0.980 |  FP_GERACAO_1.0: 0.588 => 0.988 
Hora[69] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.797 => 0.984 |  FP_GERACAO_1.0: 0.769 => 0.995 
Hora[70] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.877 => 0.990 |  FP_GERACAO_1.0: 0.881 => 0.997 
Hora[71] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.883 => 0.991 |  FP_GERACAO_1.0: 0.883 => 0.997 
Hora[72] | FP_SEM_GERACAO: 0.883 => 0.956 |  FP_GERACAO_0.5: 0.883 => 0.991 |  FP_GERACAO_1.0: 0.883 => 0.997 
Hora[73] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[74] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[75] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[76] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[77] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[78] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[79] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[80] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[81] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[82] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[83] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[84] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[85] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[86] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[87] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[88] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[89] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[90] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[91] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[92] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[93] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[94] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[95] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
Hora[96] | FP_SEM_GERACAO: 0.885 => 0.947 |  FP_GERACAO_0.5: 0.885 => 0.977 |  FP_GERACAO_1.0: 0.885 => 0.986 
