hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 54.0444, 27.9162, 54.0754, 27.9186, 54.0654, 27.9083, 0, 0
2, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
3, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
4, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
5, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
6, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
7, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
8, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
9, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
10, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
11, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
12, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
13, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
14, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
15, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
16, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
17, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
18, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
19, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
20, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
21, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
22, 0.00000, 54.045, 27.9165, 54.076, 27.919, 54.066, 27.9086, 0, 0
23, 0.00000, 54.0452, 27.9166, 54.0761, 27.919, 54.0661, 27.9087, 0, 0
24, 0.00000, 54.0455, 27.9173, 54.0758, 27.9193, 54.0659, 27.9093, 0, 0
25, 0.00000, 54.0476, 27.9205, 54.0746, 27.9206, 54.0653, 27.9122, 0, 0
26, 0.00000, 54.0485, 27.9221, 54.0737, 27.9212, 54.0647, 27.9137, 0, 0
27, 0.00000, 54.0514, 27.9269, 54.0716, 27.923, 54.0635, 27.9181, 0, 0
28, 0.00000, 54.0526, 27.9293, 54.0702, 27.9238, 54.0625, 27.9202, 0, 0
29, 0.00000, 54.0541, 27.932, 54.0689, 27.9248, 54.0616, 27.9226, 0, 0
30, 0.00000, 54.0548, 27.9333, 54.0682, 27.9253, 54.0612, 27.9238, 0, 0
31, 0.00000, 54.055, 27.9335, 54.0682, 27.9254, 54.0612, 27.9239, 0, 0
32, 0.00000, 54.055, 27.9336, 54.0681, 27.9254, 54.0612, 27.924, 0, 0
33, 0.00000, 54.055, 27.9336, 54.0682, 27.9254, 54.0612, 27.924, 0, 0
34, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
35, 0.00000, 54.0545, 27.9326, 54.0686, 27.9251, 54.0615, 27.9232, 0, 0
36, 0.00000, 54.0548, 27.9332, 54.0683, 27.9253, 54.0613, 27.9237, 0, 0
37, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
38, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
39, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
40, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
41, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
42, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
43, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
44, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
45, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
46, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
47, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
48, 0.00000, 54.0551, 27.9337, 54.0681, 27.9255, 54.0612, 27.9241, 0, 0
49, 0.00000, 54.0539, 27.9321, 54.0687, 27.924, 54.0612, 27.9221, 0, 0
50, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
51, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
52, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
53, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
54, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
55, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
56, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
57, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
58, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
59, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
60, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
61, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
62, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
63, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
64, 0.00000, 54.0542, 27.9322, 54.069, 27.9242, 54.0615, 27.9222, 0, 0
65, 0.00000, 54.0542, 27.9321, 54.069, 27.9241, 54.0615, 27.9222, 0, 0
66, 0.00000, 54.0542, 27.9321, 54.069, 27.9241, 54.0616, 27.9221, 0, 0
67, 0.00000, 54.054, 27.9317, 54.0692, 27.924, 54.0616, 27.9218, 0, 0
68, 0.00000, 54.0513, 27.9276, 54.0707, 27.9223, 54.0625, 27.9181, 0, 0
69, 0.00000, 54.0474, 27.9215, 54.0729, 27.9199, 54.0636, 27.9126, 0, 0
70, 0.00000, 54.0422, 27.9139, 54.0752, 27.9166, 54.0646, 27.9056, 0, 0
71, 0.00000, 54.0438, 27.9147, 54.0769, 27.9174, 54.0662, 27.9064, 0, 0
72, 0.00000, 54.044, 27.9148, 54.077, 27.9175, 54.0664, 27.9065, 0, 0
73, 0.00000, 54.0365, 27.9061, 54.0783, 27.9097, 54.0649, 27.8957, 0, 0
74, 0.00000, 54.0396, 27.9077, 54.0814, 27.9113, 54.068, 27.8973, 0, 0
75, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
76, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
77, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
78, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
79, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
80, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
81, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
82, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
83, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
84, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
85, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
86, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
87, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
88, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
89, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
90, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
91, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
92, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
93, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
94, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
95, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
96, 0.00000, 54.0397, 27.9078, 54.0814, 27.9113, 54.0681, 27.8973, 0, 0
