hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
2, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
3, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
4, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
5, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
6, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
7, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
8, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
9, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
10, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
11, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
12, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
13, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
14, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
15, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
16, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
17, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
18, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
19, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
20, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
21, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
22, 0.00000, 0.59905, 6.49047, 0.599486, 6.4928, 0.598907, 6.49177, 0, 0
23, 0.00000, 0.599092, 6.49092, 0.599526, 6.49324, 0.598949, 6.49222, 0, 0
24, 0.00000, 0.599367, 6.49389, 0.599784, 6.49614, 0.599228, 6.49516, 0, 0
25, 0.00000, 0.600518, 6.50633, 0.60086, 6.50822, 0.600396, 6.50742, 0, 0
26, 0.00000, 0.601138, 6.51302, 0.601438, 6.51472, 0.601025, 6.51402, 0, 0
27, 0.00000, 0.602589, 6.52874, 0.60279, 6.52994, 0.602504, 6.52947, 0, 0
28, 0.00000, 0.603317, 6.53665, 0.603467, 6.53757, 0.603248, 6.53723, 0, 0
29, 0.00000, 0.604075, 6.54492, 0.604174, 6.54554, 0.604029, 6.54531, 0, 0
30, 0.00000, 0.604368, 6.54814, 0.604447, 6.54862, 0.604334, 6.54844, 0, 0
31, 0.00000, 0.604411, 6.54861, 0.604487, 6.54908, 0.604378, 6.5489, 0, 0
32, 0.00000, 0.604458, 6.54912, 0.604531, 6.54957, 0.604425, 6.5494, 0, 0
33, 0.00000, 0.604438, 6.54891, 0.604513, 6.54936, 0.604405, 6.54919, 0, 0
34, 0.00000, 0.604523, 6.54982, 0.604594, 6.55026, 0.604491, 6.55009, 0, 0
35, 0.00000, 0.604262, 6.54695, 0.604349, 6.5475, 0.604219, 6.5473, 0, 0
36, 0.00000, 0.60439, 6.54837, 0.604469, 6.54885, 0.604353, 6.54868, 0, 0
37, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
38, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
39, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
40, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
41, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
42, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
43, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
44, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
45, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
46, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
47, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
48, 0.00000, 0.60457, 6.55033, 0.604638, 6.55076, 0.604538, 6.5506, 0, 0
49, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
50, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
51, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
52, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
53, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
54, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
55, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
56, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
57, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
58, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
59, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
60, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
61, 0.00000, 0.604145, 6.54575, 0.604243, 6.5463, 0.604108, 6.54608, 0, 0
62, 0.00000, 0.604136, 6.54565, 0.604234, 6.54621, 0.604098, 6.54598, 0, 0
63, 0.00000, 0.604119, 6.54546, 0.604218, 6.54602, 0.604081, 6.54579, 0, 0
64, 0.00000, 0.6041, 6.54525, 0.6042, 6.54582, 0.604061, 6.54559, 0, 0
65, 0.00000, 0.604079, 6.54503, 0.60418, 6.54561, 0.604041, 6.54537, 0, 0
66, 0.00000, 0.604052, 6.54473, 0.604154, 6.54532, 0.604013, 6.54508, 0, 0
67, 0.00000, 0.603976, 6.5439, 0.604084, 6.54452, 0.603934, 6.54427, 0, 0
68, 0.00000, 0.603125, 6.5345, 0.603291, 6.53556, 0.603044, 6.53518, 0, 0
69, 0.00000, 0.60194, 6.52143, 0.602189, 6.52309, 0.601807, 6.52253, 0, 0
70, 0.00000, 0.60032, 6.50363, 0.60068, 6.50605, 0.600124, 6.50524, 0, 0
71, 0.00000, 0.600298, 6.50339, 0.600659, 6.50581, 0.600101, 6.505, 0, 0
72, 0.00000, 0.600298, 6.50339, 0.600659, 6.50581, 0.600101, 6.505, 0, 0
73, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
74, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
75, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
76, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
77, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
78, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
79, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
80, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
81, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
82, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
83, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
84, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
85, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
86, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
87, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
88, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
89, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
90, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
91, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
92, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
93, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
94, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
95, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
96, 0.00000, 0.598004, 6.47869, 0.598521, 6.48179, 0.597783, 6.48059, 0, 0
