hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
2, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
3, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
4, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
5, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
6, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
7, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
8, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
9, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
10, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
11, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
12, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
13, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
14, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
15, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
16, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
17, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
18, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
19, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
20, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
21, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
22, 0.00000, 30.5139, 12.8308, 30.5249, 12.8318, 30.5227, 12.8282, 0, 0
23, 0.00000, 30.5137, 12.8291, 30.5245, 12.8301, 30.5223, 12.8265, 0, 0
24, 0.00000, 30.5131, 12.8241, 30.5233, 12.825, 30.5212, 12.8217, 0, 0
25, 0.00000, 21.125, 7.83811, 21.1305, 7.83841, 21.1294, 7.83672, 0, 0
26, 0.00000, 12.5545, 5.34237, 12.5574, 5.34226, 12.5572, 5.34157, 0, 0
27, 0.00000, 5.77994, 1.97313, 5.78096, 1.97241, 5.78138, 1.97255, 0, 0
28, 0.00000, 0.754539, 0.264684, 0.754703, 0.263874, 0.755355, 0.264305, 0, 0
29, 0.00000, -7.53526, 0.202181, -7.53577, 0.201849, -7.53511, 0.20228, 0, 0
30, 0.00000, -13.5341, 0.285493, -13.5347, 0.285415, -13.5341, 0.285801, 0, 0
31, 0.00000, -13.5341, 0.283623, -13.5347, 0.283547, -13.5341, 0.283913, 0, 0
32, 0.00000, -13.5342, 0.278003, -13.5347, 0.277949, -13.5342, 0.278251, 0, 0
33, 0.00000, -13.534, 0.281382, -13.5346, 0.281291, -13.5341, 0.281636, 0, 0
34, 0.00000, -13.5342, 0.269068, -13.5346, 0.26903, -13.5342, 0.269235, 0, 0
35, 0.00000, -10.8233, 0.234342, -10.824, 0.234056, -10.8233, 0.234475, 0, 0
36, 0.00000, -13.534, 0.284777, -13.5348, 0.28459, -13.5341, 0.284991, 0, 0
37, 0.00000, -13.5343, 0.26364, -13.5345, 0.263636, -13.5343, 0.263777, 0, 0
38, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
39, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
40, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
41, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
42, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
43, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
44, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
45, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
46, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
47, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
48, 0.00000, -13.5343, 0.263627, -13.5345, 0.263622, -13.5343, 0.263763, 0, 0
49, 0.00000, -12.8588, 0.580015, -12.8592, 0.579987, -12.8588, 0.58022, 0, 0
50, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
51, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
52, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
53, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
54, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
55, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
56, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
57, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
58, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
59, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
60, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
61, 0.00000, -12.8588, 0.580014, -12.8592, 0.579986, -12.8588, 0.58022, 0, 0
62, 0.00000, -12.8588, 0.581693, -12.8592, 0.581646, -12.8588, 0.581901, 0, 0
63, 0.00000, -12.8588, 0.584742, -12.8593, 0.584665, -12.8588, 0.584956, 0, 0
64, 0.00000, -12.8587, 0.587942, -12.8593, 0.587835, -12.8587, 0.588165, 0, 0
65, 0.00000, -12.8587, 0.591302, -12.8593, 0.591168, -12.8587, 0.591537, 0, 0
66, 0.00000, -12.8587, 0.595736, -12.8595, 0.595569, -12.8588, 0.595991, 0, 0
67, 0.00000, -12.8586, 0.60076, -12.8595, 0.600544, -12.8587, 0.601026, 0, 0
68, 0.00000, 1.44411, 0.603475, 1.44432, 0.602611, 1.44507, 0.602984, 0, 0
69, 0.00000, 11.539, 0.961943, 11.5414, 0.960605, 11.5418, 0.960449, 0, 0
70, 0.00000, 21.7902, 1.64622, 21.797, 1.64434, 21.7968, 1.64293, 0, 0
71, 0.00000, 21.7921, 1.65076, 21.799, 1.64884, 21.7988, 1.64741, 0, 0
72, 0.00000, 21.7921, 1.65078, 21.7991, 1.64887, 21.7988, 1.64743, 0, 0
73, 0.00000, 35.5227, 9.26839, 35.5377, 9.26725, 35.5362, 9.26322, 0, 0
74, 0.00000, 35.5235, 9.26914, 35.5385, 9.26799, 35.537, 9.26396, 0, 0
75, 0.00000, 35.5235, 9.26914, 35.5385, 9.268, 35.537, 9.26397, 0, 0
76, 0.00000, 35.5235, 9.26914, 35.5385, 9.268, 35.537, 9.26397, 0, 0
