hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
2, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
3, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
4, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
5, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
6, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
7, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
8, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
9, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
10, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
11, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
12, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
13, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
14, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
15, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
16, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
17, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
18, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
19, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
20, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
21, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
22, 0.00000, 3.43977, 1.36555, 3.4408, 1.36568, 3.44051, 1.36535, 0, 0
23, 0.00000, 3.43982, 1.36551, 3.44083, 1.36564, 3.44054, 1.36531, 0, 0
24, 0.00000, 3.43996, 1.36539, 3.4409, 1.36552, 3.44063, 1.36522, 0, 0
25, 0.00000, -3.22569, 1.36201, -3.22624, 1.36238, -3.22593, 1.36244, 0, 0
26, 0.00000, -4.88183, 1.38053, -4.88258, 1.38092, -4.8822, 1.38103, 0, 0
27, 0.00000, -11.4668, 1.53033, -11.4681, 1.53077, -11.4675, 1.53102, 0, 0
28, 0.00000, -16.3646, 1.72026, -16.366, 1.72073, -16.3654, 1.72102, 0, 0
29, 0.00000, -24.4518, 2.18002, -24.453, 2.18053, -24.4524, 2.18073, 0, 0
30, 0.00000, -26.0585, 2.29254, -26.0593, 2.29304, -26.0589, 2.29313, 0, 0
31, 0.00000, -26.0586, 2.29241, -26.0594, 2.29288, -26.0589, 2.29296, 0, 0
32, 0.00000, -26.0589, 2.29202, -26.0595, 2.29243, -26.0591, 2.29249, 0, 0
33, 0.00000, -26.0585, 2.29225, -26.0593, 2.29267, -26.0589, 2.29275, 0, 0
34, 0.00000, -26.0592, 2.29141, -26.0596, 2.2917, -26.0594, 2.29172, 0, 0
35, 0.00000, -26.0582, 2.29289, -26.0593, 2.29328, -26.0588, 2.29349, 0, 0
36, 0.00000, -26.0585, 2.29255, -26.0594, 2.29292, -26.0589, 2.29308, 0, 0
37, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
38, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
39, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
40, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
41, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
42, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
43, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
44, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
45, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
46, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
47, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
48, 0.00000, -26.0595, 2.29104, -26.0597, 2.29127, -26.0595, 2.29126, 0, 0
49, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
50, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
51, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
52, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
53, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
54, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
55, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
56, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
57, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
58, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
59, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
60, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
61, 0.00000, -26.059, 2.2918, -26.0595, 2.29217, -26.0592, 2.2922, 0, 0
62, 0.00000, -26.0589, 2.29192, -26.0595, 2.2923, -26.0591, 2.29235, 0, 0
63, 0.00000, -26.0587, 2.29214, -26.0594, 2.29253, -26.059, 2.29261, 0, 0
64, 0.00000, -26.0586, 2.29237, -26.0594, 2.29278, -26.0589, 2.29288, 0, 0
65, 0.00000, -26.0584, 2.2926, -26.0593, 2.29304, -26.0588, 2.29317, 0, 0
66, 0.00000, -26.0583, 2.29294, -26.0594, 2.2934, -26.0589, 2.29357, 0, 0
67, 0.00000, -26.0579, 2.29329, -26.0592, 2.29378, -26.0586, 2.29399, 0, 0
68, 0.00000, -16.3644, 1.72048, -16.3661, 1.72088, -16.3654, 1.72126, 0, 0
69, 0.00000, -6.53391, 1.40671, -6.53496, 1.407, -6.5345, 1.40723, 0, 0
70, 0.00000, 3.44008, 1.36513, 3.44102, 1.36545, 3.44082, 1.36508, 0, 0
71, 0.00000, 3.44003, 1.36517, 3.44099, 1.3655, 3.44079, 1.36512, 0, 0
72, 0.00000, 3.44003, 1.36517, 3.44099, 1.3655, 3.44079, 1.36512, 0, 0
73, 0.00000, 3.4394, 1.3657, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
74, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
75, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
76, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
77, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
78, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
79, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
80, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
81, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
82, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
83, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
84, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
85, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
86, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
87, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
88, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
89, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
90, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
91, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
92, 0.00000, 3.4394, 1.36571, 3.44066, 1.36602, 3.44035, 1.36556, 0, 0
