Bus,  3-Phase,  1-Phase,  L-L
PA_D_FF61E2081,       2261,       1117,       1958
PA_D_TN93E0066,       2368,       1172,       2050
DMUM_SF61E2020,       2249,       1110,       1947
DMUM_FF61E2081,       2260,       1116,       1957
PA_D_FF61E2782,       2434,       1207,       2108
DMUM_FF61E2782,       2433,       1207,       2107
PA_D_FF61E2828,       2446,       1214,       2119
BVIRT_FF61E2828,       2446,       1213,       2118
PA_D_FF61E2958,       2482,       1232,       2149
BVIRT_FF61E2958,       2481,       1232,       2149
DMUM_SI02E3152,       2535,       1261,       2196
DMUM_FI02E3347,       2590,       1290,       2243
PA_D_T50E1001,       2604,       1299,       2255
DMUM_FI02E3422,       2612,       1302,       2262
PA_D_FF99E0310,       1983,       1008,       1718
PA_D_F99E0316,       1976,       1005,       1712
BVIRT_FF99E0310,       1983,       1008,       1717
PA_D_FF99E0295,       1990,       1010,       1724
PA_D_3291A  ,       1958,        998,       1695
BVIRT_FF99E0295,       1990,       1010,       1723
PA_D_FF99E0272,       1995,       1012,       1728
BVIRT_FF99E0272,       1995,       1012,       1727
PA_D_F99E0090,       2068,       1039,       1791
DMUM_FF90E5031,       2113,       1055,       1830
BVIRT_FF90E5064,       2105,       1051,       1823
DMUM_FJ32E1485,       2194,       1133,       1900
PA_D_FJ32E2030,       1945,       1032,       1684
DMUM_FJ32E2030,       1944,       1031,       1684
BVIRT_FJ32E2110,       1909,       1017,       1653
PA_D_J32E1952,       1984,       1046,       1718
PA_D_SJ33E1010,       2000,       1053,       1732
DMUM_SJ32E1767,       2065,       1080,       1788
DMUM_SJ33E1010,       1994,       1051,       1727
DMUM_SF61E1751,       2188,       1079,       1895
PA_D_D_TA80L2099,       2215,       1093,       1918
BVIRT_SF61E2020,       2248,       1110,       1947
PA_D_10477  ,       2201,       1088,       1906
PA_EL_1249348,       2135,       1066,       1849
PA_D_J64E1384,       2237,       1109,       1938
BVIRT_FF61E2081,       2259,       1116,       1956
PA_D_F92E1258,       2256,       1144,       1954
PA_D_FF24E1155,       2274,       1151,       1969
PA_D_TF92E1343,       2209,       1128,       1913
PA_D_F92E1003,       2426,       1204,       2101
PA_D_F24E1000,       2267,       1148,       1963
PA_D_F92E1530,       2094,       1085,       1813
BVIRT_FF61E2782,       2432,       1207,       2106
DMUM_FF24E1155,       2166,       1112,       1876
PA_D_TJ89L2325,       1995,       1048,       1727
PA_D_J89L1970,       1980,       1042,       1715
PA_D_J89L2033,       1978,       1042,       1713
PA_D_J89L1938,       1963,       1036,       1700
PA_D_J89L1818,       1905,       1013,       1650
PA_EL_2376040,       1702,        932,       1474
DMUM_FF61E2828,       2445,       1213,       2117
CUMT_BCF61E2828,       2444,       1213,       2117
PA_D_H60E0139,       2450,       1221,       2122
DMUM_FF61E2958,       2480,       1232,       2148
PA_D_TK40E1169,       2110,       1074,       1828
PA_D_10497  ,       2101,       1070,       1819
PA_D_F46E0539,       1997,       1033,       1730
BVIRT_FF64E0005,       2307,       1143,       1998
DMUM_FF99E0272,       1994,       1012,       1727
DMUM_FF99E0295,       1989,       1010,       1722
DMUM_FF99E0310,       1982,       1007,       1717
BVIRT_FJ32E2030,       1944,       1031,       1683
PA_D_D_TS46E1040,       1885,       1005,       1632
PA_D_SJ33E1533,       1793,        965,       1553
PA_D_FJ33E1545,       1786,        962,       1546
BVIRT_SJ33E1533,       1793,        965,       1553
BVIRT_SJ33E1010,       1993,       1051,       1726
BVIRT_FJ33E1280,       1884,       1005,       1632
BVIRT_FJ33E1599,       1754,        951,       1519
BVIRT_FJ33E1545,       1785,        962,       1546
PA_EL_1227887,       1729,        945,       1497
PA_D_K96E1000,       1830,        986,       1585
PA_D_FT17L0685,       1836,        989,       1590
PA_E_-10922699,       1795,        972,       1554
PA_D_K96E0986,       1833,        987,       1588
DMUM_FJ32E2110,       1908,       1017,       1652
BVIRT_FT17L0685,       1785,        968,       1546
PA_D_FF61E1708,       2177,       1074,       1886
DMUM_FF61E1708,       2177,       1073,       1885
PA_D_FU22E2000,       2173,       1071,       1882
PA_D_10472  ,       2184,       1077,       1891
PA_0A-FU22E2000,       2170,       1070,       1879
DMUM_SF61E1652,       2165,       1067,       1875
BVIRT_SF61E1751,       2188,       1079,       1895
BVIRT_FU22E2000,       2170,       1070,       1879
BVIRT_FF24E1155,       2165,       1112,       1875
DMUM_FJ33E1545,       1785,        962,       1546
PA_D_J33E1635,       1731,        943,       1499
DMUM_FJ33E1599,       1754,        951,       1519
DMUM_SJ33E1533,       1792,        965,       1552
PA_D_2854   ,       1791,        964,       1551
PA_M_TI91L2332,       1738,        941,       1505
PA_D_FI91L2509,       1637,        897,       1418
DMUM_FN36L0928,       1626,        893,       1408
BVIRT_FI91L2509,       1636,        896,       1417
PA_D_FI91L2615,       1627,        892,       1409
BVIRT_FI91L2615,       1627,        892,       1409
PA_D_FI91L2659,       1613,        886,       1397
BVIRT_FI91L2659,       1613,        886,       1397
PA_E_-10733772,       1584,        873,       1372
DMUM_SI91L2802,       1571,        867,       1360
BVIRT_FI91L2753,       1584,        873,       1371
PA_EL_1227899,       1847,        990,       1600
DMUM_FJ33E1280,       1884,       1004,       1631
DMUM_FT17L0685,       1784,        968,       1545
PA_E_-10922708,       1748,        953,       1514
PA_E_-10922729,       1745,        952,       1511
BVIRT_SF61E1652,       2165,       1067,       1875
PA_D_SF61E1614,       2156,       1063,       1867
DMUM_6F61E1614,       2155,       1062,       1866
BVIRT_SF61E1614,       2155,       1062,       1866
PA_D_FU22E2836,       1794,        932,       1554
PA_D_U22E2761,       1823,        942,       1578
DMUM_FU22E2836,       1794,        932,       1553
PA_D_FU22E2985,       1735,        909,       1502
DMUM_FU22E2985,       1734,        909,       1502
PA_D_SU22E2618,       1887,        966,       1634
PA_EL_1249388,       1706,        899,       1478
PA_D_FU22E2563,       1911,        975,       1655
BVIRT_SU22E2618,       1886,        966,       1634
PA_D_FM94L1000,       1986,       1002,       1720
DMUM_FU22E2563,       1911,        975,       1655
DMUM_FM94L1000,       1980,       1000,       1715
PA_D_10408  ,       1978,        999,       1713
PA_D_FU22E2223,       2074,       1033,       1796
PA_EL_1249372,       1926,        981,       1668
DMUM_FU22E2223,       2073,       1033,       1796
PA_0B-FU22E2001,       2168,       1069,       1878
DMUM_FU22E2000,       2169,       1069,       1878
DMUM_SU22E2000,       2168,       1069,       1878
BVIRT_FF61E1708,       2176,       1073,       1884
PA_D_O35E2024,       2167,       1070,       1877
PA_D_FO35E2124,       2112,       1051,       1829
BVIRT_FO35E2124,       2111,       1051,       1828
PA_EL_1249331,       2076,       1039,       1798
DMUM_FO35E2222,       2058,       1032,       1782
BVIRT_FN36L0928,       1626,        893,       1408
DMUM_FI91L2509,       1636,        896,       1417
DMUM_FI91L2615,       1626,        892,       1408
DMUM_FI91L2659,       1612,        886,       1396
DMUM_FI91L2753,       1583,        872,       1371
PA_E_-10951287,       2054,       1011,       1779
DMUM_FX52E2120,       2054,       1011,       1778
PA_D_FX52E2120,       2056,       1012,       1781
BVIRT_SX52E2120,       2053,       1011,       1778
BVIRT_SF61E1144,       2047,       1007,       1773
PA_D_FF61E1388,       2103,       1036,       1821
BVIRT_FF61E1388,       2102,       1036,       1820
PA_D_F61E1445,       2115,       1042,       1832
DMUM_FF61E1445,       2115,       1042,       1832
PA_D_6F61E1614,       2153,       1061,       1864
DMUM_SF61E1614,       2154,       1062,       1865
BVIRT_6F61E1614,       2152,       1061,       1864
BVIRT_FU22E2223,       2072,       1033,       1795
PA_D_M92L1000,       2068,       1031,       1791
BVIRT_FU22E2985,       1734,        909,       1501
PA_D_U25E0320,       1671,        885,       1447
PA_D_U55E0529,       1599,        857,       1384
PA_D_U55E0544,       1594,        855,       1380
PA_EL_1249412,       1521,        826,       1318
PA_D_FI35L1084,       1737,        910,       1504
PA_D_I35L1167,       1734,        909,       1502
BVIRT_FI35L1084,       1702,        897,       1474
PA_D_D_FI34L1084,       1754,        917,       1519
PA_D_U75E2086,       1722,        904,       1491
BVIRT_FU22E2836,       1793,        931,       1553
PA_D_D55L0296,       1716,        903,       1486
PA_EL_1249380,       1684,        890,       1459
PA_D_FD51L0211,       1854,        956,       1605
BVIRT_FD51L0211,       1853,        956,       1605
PA_D_D51L0175,       1866,        960,       1616
PA_D_D51L1046,       1873,        963,       1622
BVIRT_FU22E2563,       1910,        975,       1654
PA_D_M94L1195,       1888,        967,       1635
BVIRT_FM94L1000,       1979,       1000,       1714
PA_D_FO35E2319,       2007,       1014,       1738
BVIRT_FO35E2319,       2006,       1014,       1737
PA_D_O35E2349,       1991,       1009,       1724
PA_D_O35E2284,       2026,       1021,       1754
PA_D_O35E2459,       1936,        989,       1676
PA_D_O35E2252,       2041,       1027,       1768
PA_D_X81L1070,       1870,        965,       1619
BVIRT_FO35E2222,       2057,       1032,       1782
PA_D_X84L1000,       1866,        964,       1616
PA_E_-10722889,       1941,        998,       1681
DMUM_FO35E2124,       2110,       1051,       1828
PA_E_-10722891,       1934,        996,       1674
PA_D_F61E0460,       1881,        930,       1629
PA_D_6740   ,       1873,        926,       1622
PA_D_FF98E1004,       1903,        941,       1648
PA_D_F88E1200,       1876,        928,       1625
PA_D_5F61E0294,       1848,        913,       1600
DMUM_FF98E1004,       1902,        941,       1647
DMUM_6F61E0294,       1847,        913,       1600
DMUM_5F61E0294,       1847,        913,       1600
PA_D_FF61E0676,       1942,        956,       1681
DMUM_FF93E0732,       1933,        953,       1674
BVIRT_FF61E0676,       1941,        956,       1681
PA_D_FF61E0708,       1955,        961,       1693
BVIRT_FF61E0708,       1955,        961,       1693
PA_D_FF61E0767,       1967,        967,       1704
PA_D_FF61E1084,       2036,       1002,       1763
DMUM_FF61E0767,       1967,        967,       1703
DMUM_SF61E1144,       2046,       1007,       1772
DMUM_FF61E1084,       2036,       1002,       1763
PA_D_Q31L1061,       1767,        909,       1530
PA_D_TN50L1124,       1744,        901,       1510
PA_D_N50L1193,       1702,        886,       1474
PA_D_Q31L1000,       1791,        918,       1551
PA_D_Q30L1213,       1676,        876,       1452
PA_D_N74L1143,       1662,        870,       1439
PA_E_-10951588,       1865,        945,       1615
PA_D_U27E2566,       1644,        863,       1424
PA_E_-10951587,       1873,        948,       1622
PA_E_-10951345,       1934,        970,       1675
PA_E_-10951344,       1937,        971,       1678
PA_D_U231137,       1593,        844,       1380
PA_E_-10951343,       1970,        982,       1706
DMUM_SU22E2618,       1530,        819,       1325
PA_E_-556507,       1590,        843,       1377
PA_E_-10951341,       1979,        985,       1713
PA_E_-556521,       1579,        839,       1368
PA_E_-557292,       1568,        834,       1358
PA_E_-10951288,       2052,       1011,       1777
PA_D_U26E5684,       1557,        830,       1348
BVIRT_FX52E2120,       2053,       1011,       1778
DMUM_SX52E2120,       2052,       1010,       1777
BVIRT_FF61E1445,       2114,       1042,       1831
DMUM_FF61E1388,       2101,       1035,       1820
PA_EL_3098323,       2069,       1026,       1792
DMUM_FI35L1084,       1702,        897,       1474
DMUM_FD51L0211,       1852,        956,       1604
DMUM_FO35E2319,       2005,       1014,       1737
PA_D_O94L1120,       2003,       1013,       1735
PA_D_F93E0751,       1939,        955,       1679
DMUM_FF93E0896,       1875,        934,       1624
DMUM_FF61E0676,       1941,        956,       1681
DMUM_FF61E0708,       1954,        961,       1692
CUMT_BCF61E0708,       1954,        961,       1692
BVIRT_FT55E1989,       1755,        893,       1520
PA_D_H06E1128,       1850,        927,       1602
PA_D_H06E1360,       1957,        964,       1694
BVIRT_FF61E0767,       1966,        967,       1703
BVIRT_FF61E1084,       2035,       1002,       1762
PA_E_4338776,       1922,        950,       1665
BVIRT_FF93E0732,       1933,        953,       1674
PA_E_4339447,       1890,        939,       1636
PA_E_4339973,       1878,        935,       1627
PA_E_4340413,       1870,        932,       1620
PA_D_D_TE36L1310,       1677,        859,       1452
PA_D_6759   ,       1668,        856,       1444
PA_D_FF87E0218,       1650,        849,       1429
PA_D_FF98E1264,       1805,        905,       1563
PA_D_6760   ,       1665,        855,       1442
BVIRT_FF87E0247,       1635,        844,       1416
BVIRT_FF87E0218,       1649,        849,       1428
BVIRT_FF98E1264,       1805,        905,       1563
PA_D_FF98E1042,       1893,        936,       1639
PA_D_FF98E1400,       1612,        835,       1396
PA_D_E36L1488,       1614,        836,       1398
BVIRT_FF98E1004,       1901,        940,       1647
BVIRT_FF98E1042,       1892,        936,       1639
DMUM_FF98E1400,       1612,        835,       1396
BVIRT_FE36L1488,       1614,        836,       1398
PA_D_FE36L1428,       1598,        830,       1384
DMUM_FE36L1428,       1597,        829,       1383
PA_EL_1249297,       1549,        811,       1341
PA_D_6788   ,       1482,        786,       1283
PA_D_Z83L1000,       1480,        785,       1281
BVIRT_FZ83L1034,       1470,        781,       1273
BVIRT_5F61E0294,          0,          0,          0
DMUM_SF61E0294,          0,          0,          0
BVIRT_FF93E0896,       1874,        933,       1623
DMUM_FT55E1989,       1754,        893,       1519
DMUM_FZ83L1034,       1469,        781,       1272
BVIRT_FE36L1428,       1597,        829,       1383
PA_E_-3430005,       1697,        871,       1469
DMUM_FF98E1264,       1804,        905,       1562
BVIRT_FF98E1400,       1612,        835,       1396
BVIRT_FI32E3228,       1550,        812,       1342
DMUM_FE36L1488,       1613,        836,       1397
PA_D_O22E1112,       1527,        803,       1322
PA_D_O22E1211,       1488,        790,       1288
BVIRT_FF78L0804,       1426,        768,       1235
PA_D_L50E0227,       1525,        803,       1321
PA_D_O22E1000,       1561,        816,       1352
PA_D_J20E0246,       1566,        818,       1357
PA_D_J20E0004,       1647,        848,       1426
DMUM_FF87E0218,       1649,        849,       1428
DMUM_FF87E0247,       1635,        844,       1416
DMUM_FF98E1042,       1892,        936,       1638
DMUM_FI32E3228,       1549,        812,       1342
DMUM_FF78L0804,       1425,        768,       1234
