Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.EL_168187849, 0.00870321, -0.2116175, 0.00870321, -0.2116175, 0, 0
Line.D_FN18E0003|D_W30E10, 1.168562, -24.24621, 1.168562, -24.24621, 0, 0
Line.D_W30E1001|D_W29E119, 0.2642709, -5.481507, 0.2642709, -5.481507, 0, 0
Line.D_W29E1196|30E1035, 0.345626, -7.167988, 0.345626, -7.167988, 0, 0
Line.30E1035|D_TW30E1070, 0.1287293, -7.064271, 0.1287293, -7.064271, 0, 0
Line.EL_195533409, 9.457919E-006, -0.8643619, 9.457919E-006, -0.8643619, 0, 0
Line.EL_153858340, 1.129136, -62.50995, 1.129136, -62.50995, 0, 0
Line.EL_157875885, 1610.193, 2908.546, 1610.193, 2908.546, 0, 0
Line.D_SF90E1910|SF90E189, 1089.247, 1967.541, 1089.247, 1967.541, 0, 0
Line.EL_237750528, 4262.283, 7699.138, 4262.283, 7699.138, 0, 0
Line.EL_157875685, 2255.032, 4073.294, 2255.032, 4073.294, 0, 0
Line.EL_237750502, 187.9195, 339.442, 187.9195, 339.442, 0, 0
Line.E_-558710|E_-558716, 0.05692598, -8.109855, 0.05692598, -8.109855, 0, 0
Line.E_-558708|E_-558710, 0.05241168, -7.469668, 0.05241168, -7.469668, 0, 0
Line.E_-558716|E_-558718, 0.05095261, -7.256123, 0.05095261, -7.256123, 0, 0
Line.E_-558706|E_-558708, 0.05987576, -8.53684, 0.05987576, -8.53684, 0, 0
Line.E_-558718|28E0339, 0.04797177, -6.829239, 0.04797177, -6.829239, 0, 0
Line.E_-558704|E_-558706, 0.03890564, -5.54899, 0.03890564, -5.54899, 0, 0
Line.E_-558696|E_-558704, 0.05086134, -7.256423, 0.05086134, -7.256423, 0, 0
Line.28E0065|E_-558696, 0.03290101, -4.695365, 0.03290101, -4.695365, 0, 0
Line.D_N28E0001A|28E0065, 3.906987, -12.54024, 3.906987, -12.54024, 0, 0
Line.D_N28E0001A|FF90E184, 0.6894226, -2.213135, 0.6894226, -2.213135, 0, 0
Line.FN18E0003|E_-3093927, 0.02601318, -0.6348485, 0.02601318, -0.6348485, 0, 0
Line.E_-3093927|18E0096, 0.7545232, -18.41007, 0.7545232, -18.41007, 0, 0
Line.FK30E1753|30E1713, 0.1548397, -8.562458, 0.1548397, -8.562458, 0, 0
Line.EL_237750474, -6.090796E-006, -0.4256286, -6.090796E-006, -0.4256286, 0, 0
Line.EL_237750491, 845.6381, 1527.492, 845.6381, 1527.492, 0, 0
Line.EL_237750485, 187.9195, 339.4422, 187.9195, 339.4422, 0, 0
Line.EL_237750508, -4.547182E-006, -0.4257323, -4.547182E-006, -0.4257323, 0, 0
Line.EL_151171867, 3574.177, 6443.628, 3574.177, 6443.628, 0, 0
Line.EL_157875715, 845.6386, 1527.495, 845.6386, 1527.495, 0, 0
Line.EL_157875721, 17.52136, 30.45303, 17.52136, 30.45303, 0, 0
Line.02E4792|02E4914, 3161.344, 5699.087, 3161.344, 5699.087, 0, 0
Line.D_FI02E4712|02E4792, 2085.214, 3758.886, 2085.214, 3758.886, 0, 0
Line.EL_625104, 0.03615565, -0.1924159, 0.03615565, -0.1924159, 0, 0
Line.EL_158826763, 4659.652, 8398.288, 4659.652, 8398.288, 0, 0
Line.EL_164315155, -1.211816E-006, -0.4200885, -1.211816E-006, -0.4200885, 0, 0
Line.4I02E4429|D_4I02E442, 49.57115, 89.34568, 49.57115, 89.34568, 0, 0
Line.REG2_1, 24.78549, 44.67233, 24.78549, 44.67233, 0, 0
Line.REG2_2, 24.78549, 44.67234, 24.78549, 44.67234, 0, 0
Line.REG2_3, 2255.483, 4065.204, 2255.483, 4065.204, 0, 0
Line.EL_193926392, 105.1284, 182.7199, 105.1284, 182.7199, 0, 0
Line.EL_157875775, 227.7798, 395.902, 227.7798, 395.902, 0, 0
Line.EL_157875739, 131.4124, 228.4105, 131.4124, 228.4105, 0, 0
Line.EL_157875745, 128.4928, 223.3387, 128.4928, 223.3387, 0, 0
Line.EL_157875751, 81.76846, 142.1266, 81.76846, 142.1266, 0, 0
Line.EL_157875757, 67.16715, 116.7481, 67.16715, 116.7481, 0, 0
Line.EL_157875763, 90.52992, 157.3578, 90.52992, 157.3578, 0, 0
Line.EL_157875769, 58.40657, 101.5221, 58.40657, 101.5221, 0, 0
Line.EL_164315121, 74.35673, 134.0186, 74.35673, 134.0186, 0, 0
Line.FI02E4712|D_T71E0826, 1.338763, -7.119018, 1.338763, -7.119018, 0, 0
Line.D_T71E0826|71E1021, 6.550528, -34.82059, 6.550528, -34.82059, 0, 0
Line.EL_193925909, 199.7746, 346.9437, 199.7746, 346.9437, 0, 0
Line.EL_193926424, 296.8049, 515.4414, 296.8049, 515.4414, 0, 0
Line.EL_193925898, 259.7094, 451.0413, 259.7094, 451.0413, 0, 0
Line.EL_193926192, 0.0533972, -7.38767, 0.0533972, -7.38767, 0, 0
Line.D_TF90E2616|SF90E241, 578.2325, 1005.114, 578.2325, 1005.114, 0, 0
Line.EL_164901442, 268.2742, 465.928, 268.2742, 465.928, 0, 0
Line.EL_193926295, 0.02159154, -5.27322, 0.02159154, -5.27322, 0, 0
Line.EL_193926292, 171.0719, 296.8936, 171.0719, 296.8936, 0, 0
Line.EL_193925657, 967.5611, 1679.289, 967.5611, 1679.289, 0, 0
Line.EL_208095837, 159.8617, 277.4702, 159.8617, 277.4702, 0, 0
Line.EL_193925651, 85.32628, 147.9802, 85.32628, 147.9802, 0, 0
Line.EL_164901454, 482.0467, 240.7127, 482.0467, 240.7127, 0, 0
Line.EL_164901907, 493.005, 246.192, 493.005, 246.192, 0, 0
Line.EL_164901889, 121.1101, 210.0562, 121.1101, 210.0562, 0, 0
Line.EL_164315115, 49.57115, 89.34581, 49.57115, 89.34581, 0, 0
Line.D_FF90E3763|SF90E362, 415.6327, 720.904, 415.6327, 720.904, 0, 0
Line.EL_213142, 101.8449, 176.6521, 101.8449, 176.6521, 0, 0
Line.EL_215262600, 3.073577, 0.732073, 3.073577, 0.732073, 0, 0
Line.EL_213156, 217.5557, 366.2399, 217.5557, 366.2399, 0, 0
Line.EL_57345706, 2.239994E-005, -0.2099243, 2.239994E-005, -0.2099243, 0, 0
Line.EL_213166, 284.8694, 479.552, 284.8694, 479.552, 0, 0
Line.D_FF90E4120|SF90E425, 230.4822, 388.0124, 230.4822, 388.0124, 0, 0
Line.EL_214380, -8.511512E-006, -0.2097634, -8.511512E-006, -0.2097634, 0, 0
Line.EL_164315127, -3.578117E-006, -0.419924, -3.578117E-006, -0.419924, 0, 0
Line.EL_164315143, 1065.781, 1920.942, 1065.781, 1920.942, 0, 0
Line.EL_164315133, 49.57117, 89.34587, 49.57117, 89.34587, 0, 0
Line.BCF90E3763|FF90E3763, 9.370327E-006, -0.4202443, 9.370327E-006, -0.4202443, 0, 0
Line.SF90E3942|90E3942, 6.349316E-005, -1.4695, 6.349316E-005, -1.4695, 0, 0
Line.D_FF90E4362|SF90E425, 159.6941, 268.8546, 159.6941, 268.8546, 0, 0
Line.EL_215490, 0.01801218, -0.2001642, 0.01801218, -0.2001642, 0, 0
Line.EL_213196, 122.7036, 204.8117, 122.7036, 204.8117, 0, 0
Line.EL_213204, 65.04835, 108.5788, 65.04835, 108.5788, 0, 0
Line.EL_198296984, 42.63497, 71.13369, 42.63497, 71.13369, 0, 0
Line.EL_214456, 4.619775E-005, -0.209361, 4.619775E-005, -0.209361, 0, 0
Line.EL_210520022, 58.80717, 98.11737, 58.80717, 98.11737, 0, 0
Line.EL_237900516, 10.53807, 2.510318, 10.53807, 2.510318, 0, 0
Line.FF90E4120|90E4120, 8.185567E-006, -2.517056, 8.185567E-006, -2.517056, 0, 0
Line.EL_191329300, 1804.865, 3249.341, 1804.865, 3249.341, 0, 0
Line.EL_218865238, 735.261, 1324.005, 735.261, 1324.005, 0, 0
Line.EL_191329256, 0.007605195, -0.2039493, 0.007605195, -0.2039493, 0, 0
Line.EL_626238, 456.5148, 822.1293, 456.5148, 822.1293, 0, 0
Line.EL_627346, 0.001189452, -2.481307, 0.001189452, -2.481307, 0, 0
Line.EL_626252, 270.3496, 486.8727, 270.3496, 486.8727, 0, 0
Line.EL_627352, 0.01303892, -27.08747, 0.01303892, -27.08747, 0, 0
Line.EL_626258, 686.2713, 1235.904, 686.2713, 1235.904, 0, 0
Line.EL_626264, 707.0664, 1273.349, 707.0664, 1273.349, 0, 0
Line.EL_625092, 0.01049177, -0.2016738, 0.01049177, -0.2016738, 0, 0
Line.EL_626270, 3147.507, 5668.96, 3147.507, 5668.96, 0, 0
Line.EL_626282, 829.4074, 1493.828, 829.4074, 1493.828, 0, 0
Line.EL_625098, 1.515946E-005, -0.2078202, 1.515946E-005, -0.2078202, 0, 0
Line.EL_626288, 1999.209, 3600.711, 1999.209, 3600.711, 0, 0
Line.EL_626298, 2774.461, 4998.283, 2774.461, 4998.283, 0, 0
Line.EL_54641169, 1834.716, 3305.269, 1834.716, 3305.269, 0, 0
Line.EL_626308, 542.8086, 977.9274, 542.8086, 977.9274, 0, 0
Line.EL_5717362, 2.438651E-005, -0.2090356, 2.438651E-005, -0.2090356, 0, 0
Line.EL_198275733, 1334.532, 2404.292, 1334.532, 2404.292, 0, 0
Line.EL_5717353, 1988.614, 3583.903, 1988.614, 3583.903, 0, 0
Line.EL_198275749, 0.113211, -0.1505723, 0.113211, -0.1505723, 0, 0
Line.EL_56819060, 1016.212, 1831.607, 1016.212, 1831.607, 0, 0
Line.EL_213218, 91.15187, 152.0866, 91.15187, 152.0866, 0, 0
Line.E_-1052955|E_-105295, 0.1253491, -4.962138, 0.1253491, -4.962138, 0, 0
Line.E_-1052953|E_-105295, 0.02611155, -1.033788, 0.02611155, -1.033788, 0, 0
Line.E_-1052957|E_-105295, 0.2350731, -9.303862, 0.2350731, -9.303862, 0, 0
Line.E_-1052951|E_-105295, 0.1932098, -7.650085, 0.1932098, -7.650085, 0, 0
Line.E_-1052959|E_-105296, 0.1985502, -7.856446, 0.1985502, -7.856446, 0, 0
Line.12L1200|E_-1052951, 0.1566281, -6.202867, 0.1566281, -6.202867, 0, 0
Line.E_-1052961|E_-105296, 0.1515527, -5.995618, 0.1515527, -5.995618, 0, 0
Line.D_3243|12L1200, 4.300809, -47.83743, 4.300809, -47.83743, 0, 0
Line.E_-1052963|E_-105296, 0.1881668, -7.442726, 0.1881668, -7.442726, 0, 0
Line.FF90E4362|D_3243, 0.1079317, -1.201063, 0.1079317, -1.201063, 0, 0
Line.EL_153929339, 0.14115, -5.581965, 0.14115, -5.581965, 0, 0
Line.EL_153929393, 0.02614165, -1.033687, 0.02614165, -1.033687, 0, 0
Line.EL_153929333, 0.3346673, -13.23102, 0.3346673, -13.23102, 0, 0
Line.EL_153929399, 0.5388477, -21.29287, 0.5388477, -21.29287, 0, 0
Line.E_-1052973|E_-105297, 0.3454386, -13.64345, 0.3454386, -13.64345, 0, 0
Line.E_-1052975|FZ04L1127, 0.3403248, -13.43633, 0.3403248, -13.43633, 0, 0
Line.EL_2043553, 0.0002742641, -1.256156, 0.0002742641, -1.256156, 0, 0
Line.EL_237900490, 2.195451, 0.523049, 2.195451, 0.523049, 0, 0
Line.EL_214060, 4.81489E-006, -0.4200936, 4.81489E-006, -0.4200936, 0, 0
Line.EL_198275723, 2.037762, -2.7101, 2.037762, -2.7101, 0, 0
Line.EL_191329282, 0.1596809, -4.283026, 0.1596809, -4.283026, 0, 0
Line.EL_60262055, 667.0172, 1200.855, 667.0172, 1200.855, 0, 0
Line.EL_99510260, 0.008624023, -0.2016865, 0.008624023, -0.2016865, 0, 0
Line.EL_626212, 1402.196, 2524.123, 1402.196, 2524.123, 0, 0
Line.EL_24519106, 0.003258641, -0.2042223, 0.003258641, -0.2042223, 0, 0
Line.EL_158256338, 644.5831, 1160.243, 644.5831, 1160.243, 0, 0
Line.EL_158256344, 606.6674, 1091.999, 606.6674, 1091.999, 0, 0
Line.EL_24519088, 2386.285, 4295.311, 2386.285, 4295.311, 0, 0
Line.EL_627364, 0.001598228, -3.308377, 0.001598228, -3.308377, 0, 0
Line.EL_627370, 0.1994199, -3.831849, 0.1994199, -3.831849, 0, 0
Line.EL_627376, 1.837438, -35.2911, 1.837438, -35.2911, 0, 0
Line.EL_627390, 0.03150815, -0.6049615, 0.03150815, -0.6049615, 0, 0
Line.EL_198479008, 8.307633E-005, -7.455491, 8.307633E-005, -7.455491, 0, 0
Line.EL_627396, 1.224863, -24.2158, 1.224863, -24.2158, 0, 0
Line.EL_627406, 1.021148, -20.1784, 1.021148, -20.1784, 0, 0
Line.EL_627416, -2.065673E-007, -7.454662, -2.065673E-007, -7.454662, 0, 0
Line.EL_627422, 1.795503E-005, -6.857895, 1.795503E-005, -6.857895, 0, 0
Line.EL_5717377, 2.920362E-005, -4.808039, 2.920362E-005, -4.808039, 0, 0
Line.EL_56626145, 54.28441, 89.31518, 54.28441, 89.31518, 0, 0
Line.90E4832|D_F90E4876, 56.80883, 93.46681, 56.80883, 93.46681, 0, 0
Line.EL_213240, 53.02237, 87.2404, 53.02237, 87.2404, 0, 0
Line.EL_210519882, 183.7798, 306.6611, 183.7798, 306.6611, 0, 0
Line.EL_59031281, 58.07256, 95.55163, 58.07256, 95.55163, 0, 0
Line.EL_210519876, 89.68319, 149.6427, 89.68319, 149.6427, 0, 0
Line.EL_213248, 3.787355, 6.231718, 3.787355, 6.231718, 0, 0
Line.EL_210519888, 63.21877, 105.4827, 63.21877, 105.4827, 0, 0
Line.EL_164683598, 29.03647, 47.77693, 29.03647, 47.77693, 0, 0
Line.EL_215496, 4.572505, 2.162385, 4.572505, 2.162385, 0, 0
Line.D_FF90E5031|D_FF90E5, 0.0804251, -6.119696, 0.0804251, -6.119696, 0, 0
Line.D_D_TS57E0980|D_FF90, 0.0007442619, -12.94697, 0.0007442619, -12.94697, 0, 0
Line.EL_2067061, 0.00930966, -0.2040253, 0.00930966, -0.2040253, 0, 0
Line.D_D_TS57E0980|57E098, 0.0002521862, -4.38526, 0.0002521862, -4.38526, 0, 0
Line.FZ04L1127|04L1127, 0.05236884, -2.067091, 0.05236884, -2.067091, 0, 0
Line.D_J32E1388|D_2812, 10.47488, -0.6769875, 10.47488, -0.6769875, 0, 0
Line.D_2812|D_2813, 8.326388, -0.5373901, 8.326388, -0.5373901, 0, 0
Line.M_M_FJ32E1485|D_J32E, 40.01686, -2.595843, 40.01686, -2.595843, 0, 0
Line.D_2813|M_FJ32E1485, 6.714956, -0.4329095, 6.714956, -0.4329095, 0, 0
Line.M_M_FJ32E1485|32E104, 50.7538, -3.314162, 50.7538, -3.314162, 0, 0
Line.D_FJ32E1485|M_FJ32E1, 3.760426, -0.242246, 3.760426, -0.242246, 0, 0
Line.EL_214066, 9.660087, 2.301813, 9.660087, 2.301813, 0, 0
Line.EL_4806704, 19.05978, -8.156484, 19.05978, -8.156484, 0, 0
Line.EL_237900522, 2.392381E-006, -0.4200825, 2.392381E-006, -0.4200825, 0, 0
Line.EL_237900501, 2.195455, 0.5230763, 2.195455, 0.5230763, 0, 0
Line.EL_192590210, 22.30569, -10.8581, 22.30569, -10.8581, 0, 0
Line.EL_221866843, 3.862036, -5.829021, 3.862036, -5.829021, 0, 0
Line.EL_626120, 2853.21, 5128.101, 2853.21, 5128.101, 0, 0
Line.EL_627122, 0.4680143, -3.402755, 0.4680143, -3.402755, 0, 0
Line.EL_626134, 731.7653, 1315.593, 731.7653, 1315.593, 0, 0
Line.EL_626112, 858.1707, 1541.905, 858.1707, 1541.905, 0, 0
Line.EL_626140, 2273.132, 4086.672, 2273.132, 4086.672, 0, 0
Line.EL_626098, 757.3561, 1360.565, 757.3561, 1360.565, 0, 0
Line.EL_627106, 0.0108406, -0.3979083, 0.0108406, -0.3979083, 0, 0
Line.EL_626162, 4149.928, 7462.372, 4149.928, 7462.372, 0, 0
Line.EL_627196, 1.053813, -12.25046, 1.053813, -12.25046, 0, 0
Line.EL_625086, 0.1556669, -0.1232394, 0.1556669, -0.1232394, 0, 0
Line.EL_140128921, 814.6644, 1465.847, 814.6644, 1465.847, 0, 0
Line.EL_140128936, -1.352687E-005, -0.2041181, -1.352687E-005, -0.2041181, 0, 0
Line.EL_48578871, 708.4023, 1274.641, 708.4023, 1274.641, 0, 0
Line.EL_626190, 1690.206, 3041.695, 1690.206, 3041.695, 0, 0
Line.EL_114510369, 0.005308557, -0.2018015, 0.005308557, -0.2018015, 0, 0
Line.EL_63860387, 2680.513, 4824.303, 2680.513, 4824.303, 0, 0
Line.EL_17115129, 890.1258, 1602.24, 890.1258, 1602.24, 0, 0
Line.EL_24519092, 0.5636879, -35.3272, 0.5636879, -35.3272, 0, 0
Line.EL_627338, 0.3706649, -8.672307, 0.3706649, -8.672307, 0, 0
Line.EL_627332, 0.08235254, -1.814985, 0.08235254, -1.814985, 0, 0
Line.D_F99E0316|D_FF99E03, 39.26532, 17.23963, 39.26532, 17.23963, 0, 0
Line.EL_55668602, 0.1474221, -0.1317417, 0.1474221, -0.1317417, 0, 0
Line.EL_55668576, 60.11265, 28.05022, 60.11265, 28.05022, 0, 0
Line.D_3291A|D_F99E0316, 107.3259, 47.12407, 107.3259, 47.12407, 0, 0
Line.EL_55668503, 3.483774E-005, -0.2082081, 3.483774E-005, -0.2082081, 0, 0
Line.EL_55668493, 44.13456, 20.59679, 44.13456, 20.59679, 0, 0
Line.D_3291A|99E0315, 175.3885, 77.01519, 175.3885, 77.01519, 0, 0
Line.99E0258|D_FF99E0272, 63.81828, 30.17929, 63.81828, 30.17929, 0, 0
Line.EL_126655980, 0.01742417, -0.1992205, 0.01742417, -0.1992205, 0, 0
Line.D_F99E0090|99E0258, 663.0337, 313.6119, 663.0337, 313.6119, 0, 0
Line.FF90E5031|D_F99E0090, 434.392, 205.4383, 434.392, 205.4383, 0, 0
Line.EL_2067063, 0.06504639, -1.42817, 0.06504639, -1.42817, 0, 0
Line.98L1178|FJ32E1485, 3.16738, -34.87537, 3.16738, -34.87537, 0, 0
Line.EL_196303314, 0.000461345, -0.2093629, 0.000461345, -0.2093629, 0, 0
Line.EL_196303320, 0.4645615, -16.10808, 0.4645615, -16.10808, 0, 0
Line.EL_214138, 0.3889243, -8.182628, 0.3889243, -8.182628, 0, 0
Line.D_J32E1952|32E1991, 0.4039946, -7.976675, 0.4039946, -7.976675, 0, 0
Line.D_SJ33E1010|D_J32E19, 0.2903697, -7.757337, 0.2903697, -7.757337, 0, 0
Line.EL_214118, 14.03675, -21.1778, 14.03675, -21.1778, 0, 0
Line.D_SJ33E1010|SJ33E101, 0.7229284, -2.626188, 0.7229284, -2.626188, 0, 0
Line.EL_626082, 1051.589, 1888.394, 1051.589, 1888.394, 0, 0
Line.EL_626092, 573.9768, 1030.938, 573.9768, 1030.938, 0, 0
Line.EL_114916317, 2075.728, 3729.022, 2075.728, 3729.022, 0, 0
Line.EL_627086, 0.2039571, -4.319669, 0.2039571, -4.319669, 0, 0
Line.EL_627092, 0.7047181, -14.92203, 0.7047181, -14.92203, 0, 0
Line.EL_627100, 3.979327E-007, -6.637859, 3.979327E-007, -6.637859, 0, 0
Line.EL_627112, 0.6779387, -24.86799, 0.6779387, -24.86799, 0, 0
Line.EL_157299163, 0.1789026, -6.565395, 0.1789026, -6.565395, 0, 0
Line.EL_627236, 6.323706, -5.077804, 6.323706, -5.077804, 0, 0
Line.EL_627230, 4.318484, -3.468255, 4.318484, -3.468255, 0, 0
Line.EL_627242, 2.387214, -5.488084, 2.387214, -5.488084, 0, 0
Line.EL_627210, 34.24621, -27.09873, 34.24621, -27.09873, 0, 0
Line.EL_54707304, 4.107944E-005, -2.242369, 4.107944E-005, -2.242369, 0, 0
Line.EL_627248, 1.074017, -39.1854, 1.074017, -39.1854, 0, 0
Line.EL_627304, 0.7587066, -3.682804, 0.7587066, -3.682804, 0, 0
Line.EL_627204, 1.400828, -1.109103, 1.400828, -1.109103, 0, 0
Line.EL_54707289, 0.0006188713, -32.61625, 0.0006188713, -32.61625, 0, 0
Line.EL_627262, 1.014418, -36.97163, 1.014418, -36.97163, 0, 0
Line.EL_24388524, 0.002151508, -5.908628, 0.002151508, -5.908628, 0, 0
Line.EL_627276, 0.1379751, -6.449513, 0.1379751, -6.449513, 0, 0
Line.EL_144168342, 0.002525448, -6.927344, 0.002525448, -6.927344, 0, 0
Line.EL_627282, 1.24726, -58.24325, 1.24726, -58.24325, 0, 0
Line.EL_24388535, 0.008793138, -24.04186, 0.008793138, -24.04186, 0, 0
Line.EL_117677102, 0.02104415, -57.04787, 0.02104415, -57.04787, 0, 0
Line.EL_24388511, 4.386415E-007, -40.55223, 4.386415E-007, -40.55223, 0, 0
Line.EL_140128910, 4.001719E-006, -0.2040911, 4.001719E-006, -0.2040911, 0, 0
Line.EL_627316, 1.175356, -44.79937, 1.175356, -44.79937, 0, 0
Line.EL_627310, 0.2063407, -7.870634, 0.2063407, -7.870634, 0, 0
Line.EL_627156, 0.2138936, -3.331034, 0.2138936, -3.331034, 0, 0
Line.EL_627182, 0.07831747, -42.47739, 0.07831747, -42.47739, 0, 0
Line.EL_627150, 0.3974304, -4.450722, 0.3974304, -4.450722, 0, 0
Line.EL_627162, 2.416599, -37.6182, 2.416599, -37.6182, 0, 0
Line.EL_627128, 7.699133, -55.94676, 7.699133, -55.94676, 0, 0
Line.EL_627176, 0.491066, -7.640551, 0.491066, -7.640551, 0, 0
Line.EL_126655967, 0.278787, -3.187323, 0.278787, -3.187323, 0, 0
Line.EL_55668479, 0.0001786037, -4.164325, 0.0001786037, -4.164325, 0, 0
Line.EL_55668525, 0.2948316, -0.263479, 0.2948316, -0.263479, 0, 0
Line.EL_196303359, 0.02346156, -10.67769, 0.02346156, -10.67769, 0, 0
Line.EL_214210, 6.004119, -48.49955, 6.004119, -48.49955, 0, 0
Line.EL_214230, 0.06867923, -4.350523, 0.06867923, -4.350523, 0, 0
Line.EL_225779171, 0.009438093, -0.2027229, 0.009438093, -0.2027229, 0, 0
Line.SJ33E1010|D_D_TS46E1, 12.96748, -47.08535, 12.96748, -47.08535, 0, 0
Line.D_D_TS46E1040|FJ33E1, 0.00544575, -0.2067391, 0.00544575, -0.2067391, 0, 0
Line.EL_223756063, 0.05682227, -10.66715, 0.05682227, -10.66715, 0, 0
Line.EL_195970179, 0.001558658, -0.2087008, 0.001558658, -0.2087008, 0, 0
Line.96E1208|EL_1227887, 5.85575E-007, -5.658689, 5.85575E-007, -5.658689, 0, 0
Line.D_K96E1000|96E1208, 0.05829666, -46.91637, 0.05829666, -46.91637, 0, 0
Line.EL_214160, 0.003892489, -3.141758, 0.003892489, -3.141758, 0, 0
Line.EL_210904196, 0.02466494, -20.73607, 0.02466494, -20.73607, 0, 0
Line.EL_214358, 0.01438926, -1.459631, 0.01438926, -1.459631, 0, 0
Line.EL_214148, 0.9654543, -33.45326, 0.9654543, -33.45326, 0, 0
Line.EL_210904335, 0.006238426, -5.236349, 0.006238426, -5.236349, 0, 0
Line.D_K96E0986|96E0877, 0.2035929, -20.64309, 0.2035929, -20.64309, 0, 0
Line.EL_625074, 0.4031009, 0.00837958, 0.4031009, 0.00837958, 0, 0
Line.EL_626070, 221.8085, 397.6487, 221.8085, 397.6487, 0, 0
Line.EL_626076, 386.0278, 693.217, 386.0278, 693.217, 0, 0
Line.EL_211343821, 8.541007, 13.25981, 8.541007, 13.25981, 0, 0
Line.EL_626060, 197.9319, 351.8054, 197.9319, 351.8054, 0, 0
Line.EL_169668710, 252.9144, 454.1748, 252.9144, 454.1748, 0, 0
Line.EL_211343823, 0.7764509, 1.205452, 0.7764509, 1.205452, 0, 0
Line.EL_54707316, 8.07658E-006, -0.6115553, 8.07658E-006, -0.6115553, 0, 0
Line.EL_214346, 0.1807472, -23.99971, 0.1807472, -23.99971, 0, 0
Line.EL_214236, 0.07476678, -14.01337, 0.07476678, -14.01337, 0, 0
Line.EL_85983167, 0.04236913, -7.947984, 0.04236913, -7.947984, 0, 0
Line.EL_214258, 0.04724153, -1.013705, 0.04724153, -1.013705, 0, 0
Line.EL_214264, 1.483859, -31.82867, 1.483859, -31.82867, 0, 0
Line.EL_223297322, 0.7848169, -16.82535, 0.7848169, -16.82535, 0, 0
Line.EL_721753, 2.075934, -49.41482, 2.075934, -49.41482, 0, 0
Line.EL_214308, 0.09233241, -4.160258, 0.09233241, -4.160258, 0, 0
Line.EL_123538693, 0.0005173742, -0.2093072, 0.0005173742, -0.2093072, 0, 0
Line.EL_214286, 0.03456454, -6.887503, 0.03456454, -6.887503, 0, 0
Line.EL_57345717, 1.16036E-006, -0.2094671, 1.16036E-006, -0.2094671, 0, 0
Line.EL_112670275, 0.05037905, -10.22751, 0.05037905, -10.22751, 0, 0
Line.EL_112670302, 1.215796E-005, -0.2094449, 1.215796E-005, -0.2094449, 0, 0
Line.EL_214292, 0.04801725, -10.01966, 0.04801725, -10.01966, 0, 0
Line.EL_55924331, 4.894966E-005, -11.31075, 4.894966E-005, -11.31075, 0, 0
Line.EL_214300, 1.172695E-007, -9.844571, 1.172695E-007, -9.844571, 0, 0
Line.EL_211612908, -1.816108E-006, -0.2094701, -1.816108E-006, -0.2094701, 0, 0
Line.46E1040|EL_1227899, -7.332243E-008, -9.010619, -7.332243E-008, -9.010619, 0, 0
Line.FJ33E1280|46E1040, 0.2120935, -8.062496, 0.2120935, -8.062496, 0, 0
Line.EL_210904228, 0.02249345, -18.85075, 0.02249345, -18.85075, 0, 0
Line.EL_210904265, 0.00200597, -1.675612, 0.00200597, -1.675612, 0, 0
Line.EL_210904254, 0.03158771, -26.39074, 0.03158771, -26.39074, 0, 0
Line.EL_234023055, 233.9202, 415.7742, 233.9202, 415.7742, 0, 0
Line.EL_169668722, 5.15445E-006, -0.4009373, 5.15445E-006, -0.4009373, 0, 0
Line.EL_234023019, 23.99187, 42.64375, 23.99187, 42.64375, 0, 0
Line.EL_210347705, 6.119873, -4.216291, 6.119873, -4.216291, 0, 0
Line.EL_163004618, 6.225581, -3.163333, 6.225581, -3.163333, 0, 0
Line.EL_626940, 0.0532822, -0.1720935, 0.0532822, -0.1720935, 0, 0
Line.EL_626718, 4.54668, -26.99899, 4.54668, -26.99899, 0, 0
Line.EL_626704, 21.01007, -10.68048, 21.01007, -10.68048, 0, 0
Line.EL_625068, 0.0003061056, -0.1995239, 0.0003061056, -0.1995239, 0, 0
Line.EL_626732, 1.06174, -7.836331, 1.06174, -7.836331, 0, 0
Line.EL_626698, 11.12154, -2.424949, 11.12154, -2.424949, 0, 0
Line.EL_626738, -5.880072E-007, -6.190243, -5.880072E-007, -6.190243, 0, 0
Line.EL_626682, 14.64736, -3.195537, 14.64736, -3.195537, 0, 0
Line.EL_220107462, -4.028128E-006, -0.1998314, -4.028128E-006, -0.1998314, 0, 0
Line.EL_198465482, 94.77165, 16.9594, 94.77165, 16.9594, 0, 0
Line.EL_198465399, 0.08944964, -0.1670186, 0.08944964, -0.1670186, 0, 0
Line.EL_626766, 3.202789, -0.9388893, 3.202789, -0.9388893, 0, 0
Line.EL_626802, 0.3492548, -3.018669, 0.3492548, -3.018669, 0, 0
Line.EL_626672, 205.1526, 85.78149, 205.1526, 85.78149, 0, 0
Line.EL_626808, 1.899328, -16.41317, 1.899328, -16.41317, 0, 0
Line.EL_626664, 186.8657, 81.68924, 186.8657, 81.68924, 0, 0
Line.EL_626818, 4.721713E-007, -3.599488, 4.721713E-007, -3.599488, 0, 0
Line.EL_625062, 0.03287794, -0.1832276, 0.03287794, -0.1832276, 0, 0
Line.EL_211343847, 54.5883, 84.63004, 54.5883, 84.63004, 0, 0
Line.EL_220510780, 451.2221, 204.7284, 451.2221, 204.7284, 0, 0
Line.EL_626642, 1.5529, 2.410876, 1.5529, 2.410876, 0, 0
